"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"0500000US06079","San Luis Obispo County, California","106244","958","null","null","4965","465","null","null","3703","581","null","null","3493","null","556","null","3566","492","null","null","3593","null","487","null","3858","null","537","null","3384","333","null","null","3928","447","null","null","3438","null","479","null","7472","null","702","null","9906","839","null","null","14152","973","null","null","12113","null","827","null","8406","null","701","null","9459","null","698","null","10808","764","null","null",
"0500000US06081","San Mateo County, California","263351","1075","null","null","6755","552","null","null","5647","558","null","null","4849","null","538","null","5585","642","null","null","5007","null","526","null","5563","null","608","null","5384","638","null","null","5887","707","null","null","4499","null","520","null","11290","null","800","null","16095","1021","null","null","27352","1287","null","null","25113","null","1123","null","20498","null","1011","null","34434","null","1239","null","79393","1532","null","null",
"0500000US06083","Santa Barbara County, California","148309","891","null","null","7182","712","null","null","4729","482","null","null","4207","null","462","null","4389","493","null","null","4470","null","478","null","4580","null","456","null","6274","654","null","null","5650","563","null","null","5232","null","685","null","10152","null","841","null","14081","904","null","null","19053","1016","null","null","15006","null","907","null","10740","null","775","null","12949","null","965","null","19615","812","null","null",
"0500000US06085","Santa Clara County, California","635314","1803","null","null","18079","1038","null","null","14662","869","null","null","13056","null","881","null","12471","844","null","null","12282","null","768","null","13241","null","812","null","12366","794","null","null","13163","821","null","null","12447","null","861","null","24901","null","1134","null","39536","1799","null","null","59684","2002","null","null","58589","null","1853","null","52524","null","1527","null","85980","null","2031","null","192333","2782","null","null",
"0500000US06087","Santa Cruz County, California","96275","747","null","null","4223","556","null","null","3428","502","null","null","3334","null","570","null","2747","395","null","null","2588","null","392","null","2708","null","419","null","3093","477","null","null","2775","453","null","null","2575","null","362","null","5557","null","539","null","6788","626","null","null","12404","938","null","null","9333","null","712","null","6962","null","600","null","11628","null","972","null","16132","881","null","null",
"0500000US06089","Shasta County, California","70845","699","null","null","3892","473","null","null","4507","479","null","null","3645","null","391","null","3143","417","null","null","3359","null","489","null","3390","null","412","null","3140","394","null","null","3370","428","null","null","3054","null","397","null","5284","null","483","null","7155","452","null","null","9529","630","null","null","5417","null","474","null","3996","null","419","null","4279","null","452","null","3685","370","null","null",
"0500000US06091","Sierra County, California","1250","155","null","null","64","56","null","null","93","64","null","null","49","null","40","null","63","46","null","null","39","null","26","null","114","null","85","null","39","39","null","null","74","78","null","null","37","null","38","null","175","null","99","null","52","37","null","null","171","72","null","null","95","null","45","null","44","null","33","null","115","null","69","null","26","26","null","null",
"0500000US06093","Siskiyou County, California","19195","407","null","null","1379","239","null","null","1215","226","null","null","1139","null","200","null","1380","198","null","null","955","null","134","null","1013","null","177","null","897","149","null","null","1211","193","null","null","917","null","254","null","1742","null","247","null","1883","259","null","null","1957","231","null","null","1400","null","248","null","957","null","239","null","707","null","149","null","443","137","null","null",
"0500000US06095","Solano County, California","151191","723","null","null","5465","552","null","null","3826","470","null","null","3361","null","388","null","4284","446","null","null","4654","null","691","null","4583","null","497","null","4759","624","null","null","5902","618","null","null","4491","null","534","null","10007","null","857","null","14921","895","null","null","22332","1167","null","null","18620","null","894","null","12064","null","806","null","16465","null","1033","null","15457","884","null","null",
"0500000US06097","Sonoma County, California","188958","873","null","null","7017","532","null","null","5470","649","null","null","5807","null","642","null","4885","613","null","null","5358","null","565","null","6664","null","622","null","5798","674","null","null","6613","708","null","null","5176","null","554","null","12551","null","811","null","16800","880","null","null","26717","949","null","null","20818","null","1128","null","15575","null","880","null","20534","null","836","null","23175","1186","null","null",
"0500000US06099","Stanislaus County, California","174826","884","null","null","7535","674","null","null","7984","757","null","null","7287","null","744","null","7739","677","null","null","7707","null","714","null","8183","null","672","null","8107","893","null","null","7374","720","null","null","7515","null","792","null","13855","null","997","null","18673","1304","null","null","23191","1205","null","null","17250","null","993","null","10653","null","890","null","11574","null","875","null","10199","869","null","null",
"0500000US06101","Sutter County, California","32586","259","null","null","1562","244","null","null","1365","266","null","null","1131","null","204","null","1315","260","null","null","1360","null","242","null","1594","null","309","null","1289","299","null","null","1440","244","null","null","1696","null","327","null","2581","null","380","null","3358","423","null","null","4428","462","null","null","3273","null","438","null","2076","null","302","null","2001","null","260","null","2117","298","null","null",
"0500000US06103","Tehama County, California","24661","418","null","null","1512","348","null","null","1818","342","null","null","1543","null","312","null","1567","277","null","null","1457","null","296","null","1225","null","327","null","1163","266","null","null","1074","309","null","null","1268","null","298","null","1512","null","292","null","2554","422","null","null","3158","512","null","null","1914","null","360","null","767","null","216","null","1095","null","275","null","1034","283","null","null",
"0500000US06105","Trinity County, California","5896","227","null","null","630","201","null","null","435","131","null","null","411","null","159","null","431","188","null","null","358","null","122","null","291","null","106","null","298","105","null","null","327","114","null","null","334","null","132","null","534","null","158","null","487","142","null","null","468","161","null","null","288","null","100","null","277","null","129","null","250","null","96","null","77","42","null","null",
"0500000US06107","Tulare County, California","139044","793","null","null","8679","849","null","null","7476","700","null","null","6971","null","658","null","8671","828","null","null","6812","null","789","null","7582","null","916","null","6457","781","null","null","7450","916","null","null","5859","null","646","null","11230","null","1118","null","13330","1093","null","null","17788","1044","null","null","10322","null","896","null","7657","null","831","null","7047","null","752","null","5713","575","null","null",
"0500000US06109","Tuolumne County, California","22937","637","null","null","1050","223","null","null","1694","474","null","null","855","null","211","null","990","277","null","null","1042","null","263","null","1075","null","291","null","861","232","null","null","1081","275","null","null","815","null","204","null","1911","null","372","null","1989","347","null","null","2981","441","null","null","2469","null","403","null","1379","null","312","null","1339","null","278","null","1406","289","null","null",
"0500000US06111","Ventura County, California","271639","1129","null","null","9094","785","null","null","6854","650","null","null","6903","null","643","null","7743","762","null","null","8256","null","711","null","8604","null","694","null","7990","837","null","null","9325","772","null","null","8607","null","695","null","15336","null","994","null","23712","1226","null","null","38382","1553","null","null","30192","null","1240","null","22271","null","993","null","30156","null","1257","null","38214","1305","null","null",
"0500000US06113","Yolo County, California","74614","619","null","null","5481","582","null","null","3521","455","null","null","2164","null","341","null","3146","411","null","null","2566","null","399","null","2146","null","382","null","2293","417","null","null","2347","330","null","null","2224","null","350","null","4923","null","612","null","7121","585","null","null","8673","666","null","null","7400","null","607","null","4651","null","532","null","7600","null","611","null","8358","593","null","null",
"0500000US06115","Yuba County, California","26434","401","null","null","1507","323","null","null","1527","266","null","null","1289","null","271","null","1101","243","null","null","1251","null","314","null","1288","null","281","null","1255","273","null","null","1015","228","null","null","1246","null","314","null","1885","null","305","null","2656","428","null","null","3356","379","null","null","3233","null","416","null","1225","null","255","null","1768","null","279","null","832","202","null","null",
