"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"0500000US06019","Fresno County, California","285338","null","1666","null","20513","null","1096","null","20506","null","960","null","18278","860","null","null","19007","921","null","null","15508","null","839","null","16365","null","852","null","13988","null","853","null","13700","778","null","null","12270","898","null","null","22434","null","983","null","27124","null","1173","null","32579","null","1131","null","20656","913","null","null","12872","687","null","null","10880","614","null","null","8658","null","553","null",
"0500000US06021","Glenn County, California","9483","null","334","null","502","null","146","null","823","null","191","null","680","165","null","null","803","188","null","null","673","null","152","null","482","null","131","null","494","null","126","null","512","143","null","null","438","127","null","null","752","null","169","null","898","null","207","null","1120","null","229","null","543","144","null","null","282","109","null","null","174","91","null","null","307","null","113","null",
"0500000US06023","Humboldt County, California","53724","null","665","null","4479","null","508","null","4626","null","501","null","3930","465","null","null","3637","374","null","null","3279","null","377","null","3474","null","392","null","3222","null","359","null","2595","350","null","null","2332","293","null","null","4263","null","362","null","5230","null","424","null","5534","null","468","null","3182","363","null","null","1401","255","null","null","1335","241","null","null","1205","null","218","null",
"0500000US06025","Imperial County, California","48117","null","731","null","4392","null","473","null","4706","null","516","null","4098","373","null","null","3217","435","null","null","3020","null","397","null","2826","null","364","null","2059","null","343","null","1965","286","null","null","1858","288","null","null","3668","null","426","null","4184","null","451","null","4929","null","405","null","3144","415","null","null","1705","266","null","null","1446","223","null","null","900","null","168","null",
"0500000US06027","Inyo County, California","7910","null","213","null","390","null","100","null","581","null","137","null","598","144","null","null","520","173","null","null","559","null","136","null","427","null","112","null","315","null","114","null","355","92","null","null","228","74","null","null","624","null","153","null","722","null","151","null","1010","null","170","null","805","170","null","null","272","82","null","null","407","125","null","null","97","null","45","null",
"0500000US06029","Kern County, California","250999","null","1519","null","17314","null","957","null","18257","null","1001","null","15051","815","null","null","14899","836","null","null","15182","null","912","null","12820","null","656","null","12993","null","754","null","12730","713","null","null","10349","668","null","null","20678","null","996","null","24807","null","989","null","29349","null","1330","null","19175","1017","null","null","10693","690","null","null","9962","679","null","null","6740","null","504","null",
"0500000US06031","Kings County, California","40716","null","507","null","2565","null","380","null","2259","null","336","null","2447","290","null","null","2283","270","null","null","2642","null","326","null","2305","null","325","null","2442","null","447","null","1901","275","null","null","1876","362","null","null","3523","null","377","null","4452","null","384","null","4345","null","488","null","3396","371","null","null","1855","318","null","null","1703","295","null","null","722","null","187","null",
"0500000US06033","Lake County, California","25654","null","803","null","1893","null","360","null","2280","null","361","null","2105","421","null","null","1984","379","null","null","1543","null","313","null","1655","null","345","null","1503","null","333","null","1257","243","null","null","1440","297","null","null","1932","null","353","null","2168","null","421","null","2102","null","304","null","1728","271","null","null","975","219","null","null","623","182","null","null","466","null","162","null",
"0500000US06035","Lassen County, California","10097","null","499","null","605","null","157","null","710","null","225","null","597","185","null","null","579","201","null","null","312","null","105","null","412","null","113","null","643","null","218","null","416","158","null","null","538","145","null","null","678","null","157","null","1330","null","262","null","1580","null","271","null","724","199","null","null","528","144","null","null","214","91","null","null","231","null","87","null",
"0500000US06037","Los Angeles County, California","3218518","null","5569","null","196705","null","2939","null","188853","null","2717","null","169906","3056","null","null","163499","2582","null","null","157603","null","2712","null","154617","null","2621","null","145814","null","2503","null","141422","2750","null","null","125011","2460","null","null","246548","null","3223","null","313816","null","4085","null","385543","null","4003","null","269042","3358","null","null","170079","2711","null","null","186110","3274","null","null","203950","null","2795","null",
"0500000US06039","Madera County, California","42032","null","718","null","2178","null","343","null","2487","null","337","null","2433","363","null","null","2918","348","null","null","2442","null","338","null","2862","null","417","null","2155","null","322","null","2420","350","null","null","1913","275","null","null","4026","null","456","null","4272","null","500","null","4400","null","454","null","3388","423","null","null","1802","270","null","null","1226","231","null","null","1110","null","214","null",
"0500000US06041","Marin County, California","102832","null","942","null","3521","null","372","null","3512","null","450","null","3119","367","null","null","3402","494","null","null","2886","null","358","null","3887","null","477","null","3035","null","411","null","3706","534","null","null","2963","394","null","null","5948","null","562","null","8371","null","689","null","12031","null","883","null","10913","591","null","null","7517","557","null","null","10118","640","null","null","17903","null","795","null",
"0500000US06043","Mariposa County, California","7607","null","347","null","616","null","215","null","507","null","185","null","456","165","null","null","535","170","null","null","368","null","166","null","303","null","149","null","377","null","124","null","334","130","null","null","361","144","null","null","474","null","154","null","714","null","180","null","1172","null","289","null","694","213","null","null","326","187","null","null","205","78","null","null","165","null","95","null",
