"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"0500000US06021","Glenn County, California","9660","247","null","null","571","150","null","null","792","187","null","null","605","null","154","null","923","null","216","null","626","null","160","null","538","null","136","null","499","null","148","null","538","null","164","null","523","null","181","null","609","154","null","null","1052","210","null","null","1153","null","220","null","621","null","141","null","260","92","null","null","116","null","62","null","234","97","null","null",
"0500000US06023","Humboldt County, California","54276","600","null","null","4354","443","null","null","4818","464","null","null","3904","null","484","null","4137","null","458","null","3225","null","367","null","3175","null","364","null","3479","null","465","null","2491","null","289","null","2461","null","350","null","4368","432","null","null","5391","481","null","null","5431","null","410","null","3171","null","345","null","1541","244","null","null","1216","null","226","null","1114","220","null","null",
"0500000US06025","Imperial County, California","47304","673","null","null","4045","512","null","null","4568","417","null","null","4181","null","440","null","3289","null","452","null","3037","null","389","null","2827","null","411","null","2413","null","312","null","1626","null","292","null","2159","null","326","null","3611","420","null","null","4122","460","null","null","4861","null","465","null","2972","null","342","null","1384","251","null","null","1408","null","299","null","801","170","null","null",
"0500000US06027","Inyo County, California","7982","215","null","null","444","116","null","null","543","111","null","null","567","null","147","null","559","null","161","null","471","null","119","null","405","null","126","null","519","null","172","null","499","null","134","null","244","null","78","null","661","145","null","null","746","138","null","null","855","null","136","null","715","null","122","null","276","89","null","null","352","null","123","null","126","53","null","null",
"0500000US06029","Kern County, California","248057","1704","null","null","16661","1027","null","null","18238","952","null","null","15049","null","1000","null","15160","null","861","null","14769","null","850","null","13552","null","931","null","12880","null","686","null","13419","null","856","null","10804","null","742","null","19985","976","null","null","24229","1075","null","null","28936","null","1098","null","18616","null","827","null","10618","672","null","null","8738","null","695","null","6403","436","null","null",
"0500000US06031","Kings County, California","40606","743","null","null","2158","303","null","null","2276","316","null","null","2443","null","353","null","2722","null","345","null","2557","null","358","null","2374","null","417","null","2523","null","346","null","1821","null","299","null","1908","null","348","null","3768","360","null","null","4596","469","null","null","4466","null","399","null","3286","null","377","null","1768","233","null","null","1345","null","241","null","595","121","null","null",
"0500000US06033","Lake County, California","25180","633","null","null","1944","351","null","null","2424","389","null","null","2154","null","355","null","1741","null","294","null","1339","null","247","null","1538","null","298","null","1623","null","322","null","1221","null","275","null","1401","null","307","null","2325","365","null","null","2234","312","null","null","1933","null","287","null","1529","null","311","null","772","191","null","null","663","null","175","null","339","131","null","null",
"0500000US06035","Lassen County, California","10276","505","null","null","687","197","null","null","710","174","null","null","685","null","184","null","604","null","173","null","286","null","98","null","454","null","162","null","567","null","220","null","554","null","196","null","563","null","176","null","723","175","null","null","1201","282","null","null","1597","null","283","null","632","null","200","null","457","138","null","null","245","null","89","null","311","136","null","null",
"0500000US06037","Los Angeles County, California","3217889","5500","null","null","199280","3174","null","null","186531","2746","null","null","171107","null","2956","null","167685","null","2754","null","159315","null","2504","null","155526","null","2758","null","147451","null","2584","null","145973","null","2716","null","128587","null","2878","null","247863","3364","null","null","319175","3934","null","null","386173","null","4289","null","267936","null","3658","null","164826","2769","null","null","178048","null","2734","null","192413","2581","null","null",
"0500000US06039","Madera County, California","42089","649","null","null","2250","359","null","null","2925","350","null","null","2291","null","325","null","2712","null","363","null","2770","null","369","null","2750","null","387","null","2567","null","369","null","2393","null","316","null","1877","null","326","null","3829","393","null","null","4125","393","null","null","4252","null","420","null","3352","null","353","null","1685","249","null","null","1057","null","244","null","1254","241","null","null",
"0500000US06041","Marin County, California","102727","816","null","null","3747","442","null","null","3471","405","null","null","3071","null","468","null","3161","null","384","null","3203","null","332","null","3885","null","539","null","2843","null","372","null","3645","null","427","null","2927","null","403","null","5645","537","null","null","8693","593","null","null","12187","null","694","null","11845","null","781","null","7060","534","null","null","10075","null","666","null","17269","657","null","null",
"0500000US06043","Mariposa County, California","7724","336","null","null","571","207","null","null","686","241","null","null","515","null","195","null","329","null","130","null","328","null","143","null","273","null","129","null","391","null","152","null","420","null","121","null","441","null","153","null","622","201","null","null","717","215","null","null","1025","null","243","null","716","null","212","null","278","124","null","null","231","null","119","null","181","107","null","null",
"0500000US06045","Mendocino County, California","34374","547","null","null","2441","369","null","null","2549","310","null","null","2302","null","367","null","2787","null","403","null","1852","null","307","null","2195","null","371","null","1529","null","237","null","2107","null","314","null","1794","null","292","null","3117","351","null","null","3136","384","null","null","3777","null","422","null","2062","null","308","null","1082","198","null","null","923","null","184","null","721","170","null","null",
"0500000US06047","Merced County, California","73586","778","null","null","5570","605","null","null","5514","567","null","null","5135","null","519","null","5393","null","543","null","4713","null","442","null","4206","null","499","null","3402","null","382","null","3587","null","446","null","3560","null","430","null","6356","532","null","null","7476","645","null","null","7966","null","592","null","4775","null","531","null","2201","307","null","null","1946","null","289","null","1786","326","null","null",
"0500000US06049","Modoc County, California","3977","201","null","null","234","78","null","null","438","103","null","null","430","null","149","null","367","null","111","null","242","null","71","null","308","null","103","null","186","null","84","null","249","null","98","null","108","null","45","null","257","98","null","null","325","96","null","null","420","null","107","null","232","null","92","null","106","65","null","null","41","null","29","null","34","23","null","null",
"0500000US06051","Mono County, California","5283","472","null","null","201","124","null","null","284","150","null","null","216","null","138","null","416","null","174","null","190","null","115","null","302","null","168","null","324","null","132","null","360","null","189","null","69","null","62","null","454","175","null","null","606","201","null","null","842","null","225","null","437","null","189","null","303","142","null","null","174","null","90","null","105","106","null","null",
"0500000US06053","Monterey County, California","124963","1083","null","null","5209","515","null","null","5670","531","null","null","6153","null","543","null","6022","null","588","null","6201","null","675","null","5839","null","542","null","5205","null","497","null","6342","null","590","null","5642","null","603","null","10874","671","null","null","13291","692","null","null","16927","null","746","null","11576","null","742","null","6890","537","null","null","6497","null","559","null","6625","471","null","null",
"0500000US06055","Napa County, California","49179","742","null","null","1861","284","null","null","2285","357","null","null","2018","null","351","null","1942","null","308","null","1727","null","274","null","2179","null","359","null","2453","null","359","null","2083","null","342","null","1620","null","260","null","3409","448","null","null","5237","457","null","null","6429","null","514","null","5349","null","504","null","2980","323","null","null","3641","null","417","null","3966","405","null","null",
"0500000US06057","Nevada County, California","41255","656","null","null","1928","296","null","null","2285","331","null","null","1732","null","315","null","2160","null","337","null","2153","null","287","null","1886","null","298","null","1678","null","303","null","2399","null","389","null","1791","null","282","null","3571","457","null","null","4564","501","null","null","5685","null","544","null","3693","null","399","null","2121","290","null","null","2120","null","291","null","1489","235","null","null",
"0500000US06059","Orange County, California","984503","2487","null","null","38752","1518","null","null","31753","1046","null","null","32499","null","1049","null","36825","null","1395","null","37458","null","1287","null","36750","null","1334","null","35185","null","1274","null","40269","null","1285","null","35127","null","1106","null","70587","1812","null","null","101018","1926","null","null","133853","null","2190","null","106612","null","1930","null","72515","1675","null","null","83507","null","1695","null","91793","1664","null","null",
"0500000US06061","Placer County, California","129153","926","null","null","4496","519","null","null","4486","499","null","null","4355","null","453","null","4875","null","409","null","4645","null","447","null","5109","null","494","null","5137","null","523","null","5410","null","565","null","4263","null","474","null","10263","742","null","null","11973","629","null","null","19509","null","842","null","15017","null","756","null","9739","681","null","null","10830","null","641","null","9046","606","null","null",
"0500000US06063","Plumas County, California","10090","438","null","null","847","282","null","null","799","215","null","null","564","null","182","null","385","null","152","null","692","null","217","null","536","null","185","null","610","null","196","null","736","null","258","null","522","null","193","null","865","211","null","null","1059","245","null","null","1109","null","203","null","590","null","187","null","316","128","null","null","263","null","123","null","197","103","null","null",
"0500000US06065","Riverside County, California","666906","3169","null","null","31641","1353","null","null","32917","1239","null","null","31717","null","1189","null","36228","null","1373","null","33331","null","1343","null","34033","null","1108","null","30984","null","1127","null","30858","null","1346","null","27906","null","1096","null","54134","1619","null","null","71481","1833","null","null","90393","null","2019","null","62396","null","1646","null","35550","1228","null","null","35637","null","1289","null","27700","1106","null","null",
