"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"0500000US06039","Madera County, California","44881","null","590","null","2471","null","366","null","2389","null","377","null","1901","null","380","null","1868","null","299","null","2209","null","308","null","2542","407","null","null","2259","null","410","null","2222","434","null","null","2167","null","395","null","3283","null","505","null","4790","null","501","null","5813","null","552","null","3864","null","468","null","3090","null","399","null","2202","null","363","null","1811","284","null","null",
"0500000US06041","Marin County, California","105432","null","883","null","3139","null","342","null","2888","null","426","null","2485","null","364","null","2744","null","412","null","2720","null","441","null","2824","374","null","null","2654","null","392","null","2650","333","null","null","2273","null","354","null","5047","null","598","null","6775","null","572","null","10462","null","699","null","9215","null","758","null","8295","null","633","null","11842","null","682","null","29419","826","null","null",
"0500000US06043","Mariposa County, California","7643","null","346","null","479","null","172","null","445","null","152","null","526","null","133","null","528","null","182","null","503","null","171","null","310","117","null","null","463","null","140","null","316","106","null","null","327","null","112","null","643","null","154","null","720","null","174","null","1057","null","210","null","403","null","107","null","395","null","138","null","409","null","133","null","119","52","null","null",
"0500000US06045","Mendocino County, California","34408","null","643","null","1914","null","366","null","2468","null","305","null","2050","null","346","null","1818","null","315","null","1979","null","375","null","1778","304","null","null","1564","null","240","null","1636","312","null","null","1489","null","298","null","3022","null","397","null","3390","null","405","null","4057","null","432","null","3035","null","350","null","1400","null","260","null","1438","null","229","null","1370","219","null","null",
"0500000US06047","Merced County, California","80008","null","727","null","4898","null","511","null","4686","null","450","null","3988","null","388","null","3933","null","450","null","4325","null","499","null","3933","489","null","null","3937","null","399","null","4407","473","null","null","3552","null","389","null","5846","null","564","null","8973","null","641","null","10185","null","738","null","6442","null","557","null","3409","null","445","null","3856","null","415","null","3638","354","null","null",
"0500000US06049","Modoc County, California","3616","null","232","null","276","null","85","null","140","null","60","null","301","null","107","null","198","null","81","null","373","null","159","null","253","100","null","null","96","null","47","null","157","59","null","null","131","null","75","null","434","null","132","null","368","null","117","null","405","null","118","null","249","null","105","null","151","null","74","null","78","null","41","null","6","8","null","null",
"0500000US06051","Mono County, California","4765","null","377","null","193","null","112","null","143","null","76","null","42","null","37","null","178","null","81","null","219","null","107","null","130","98","null","null","202","null","112","null","169","107","null","null","349","null","165","null","649","null","229","null","561","null","178","null","880","null","245","null","230","null","97","null","223","null","109","null","316","null","149","null","281","147","null","null",
"0500000US06053","Monterey County, California","127155","null","979","null","4557","null","469","null","3669","null","384","null","4126","null","527","null","5284","null","450","null","4750","null","474","null","5345","440","null","null","4912","null","502","null","5131","539","null","null","5076","null","553","null","10619","null","694","null","13518","null","779","null","18105","null","897","null","12117","null","609","null","8853","null","614","null","9789","null","605","null","11304","642","null","null",
"0500000US06055","Napa County, California","48705","null","496","null","1640","null","245","null","1428","null","237","null","1162","null","239","null","1277","null","214","null","1547","null","244","null","1356","223","null","null","1487","null","261","null","1695","243","null","null","1752","null","266","null","3230","null","353","null","4048","null","350","null","6397","null","517","null","5197","null","412","null","3876","null","331","null","5305","null","370","null","7308","407","null","null",
"0500000US06057","Nevada County, California","40855","null","701","null","1956","null","300","null","1852","null","392","null","1546","null","299","null","1732","null","316","null","1752","null","279","null","2143","379","null","null","1567","null","300","null","1841","307","null","null","1669","null","308","null","2743","null","369","null","3780","null","478","null","5292","null","492","null","3861","null","497","null","2580","null","322","null","2931","null","363","null","3610","385","null","null",
"0500000US06059","Orange County, California","1037492","null","2280","null","43296","null","1434","null","28288","null","1234","null","26706","null","1076","null","31746","null","1371","null","29477","null","1325","null","32677","1323","null","null","30132","null","1243","null","31670","1464","null","null","29900","null","1023","null","63366","null","1970","null","88193","null","2030","null","133015","null","2294","null","108938","null","2299","null","83863","null","2068","null","115175","null","1974","null","161050","2638","null","null",
"0500000US06061","Placer County, California","142855","null","835","null","5270","null","610","null","4471","null","421","null","4002","null","479","null","4480","null","459","null","4282","null","469","null","4681","463","null","null","4254","null","465","null","3871","430","null","null","3792","null","355","null","8907","null","542","null","12417","null","644","null","18392","null","852","null","16210","null","849","null","12433","null","745","null","16358","null","820","null","19035","755","null","null",
"0500000US06063","Plumas County, California","8450","null","343","null","517","null","160","null","554","null","162","null","347","null","131","null","346","null","107","null","301","null","119","null","408","153","null","null","514","null","145","null","376","135","null","null","451","null","161","null","619","null","169","null","847","null","186","null","1187","null","243","null","815","null","199","null","366","null","129","null","445","null","151","null","357","128","null","null",
"0500000US06065","Riverside County, California","724893","null","2905","null","39366","null","1284","null","28506","null","1049","null","29128","null","1257","null","31998","null","1209","null","29868","null","1186","null","31603","1179","null","null","29352","null","1256","null","28495","1167","null","null","26688","null","872","null","52374","null","1664","null","71254","null","1924","null","95019","null","2157","null","74660","null","1913","null","47742","null","1635","null","57055","null","1522","null","51785","1593","null","null",
"0500000US06067","Sacramento County, California","543025","null","1581","null","27672","null","1121","null","24725","null","1161","null","21035","null","997","null","22510","null","1030","null","22084","null","1126","null","23079","968","null","null","21313","null","915","null","21324","941","null","null","19541","null","922","null","42103","null","1382","null","51695","null","1550","null","72270","null","1881","null","53730","null","1487","null","37383","null","1351","null","43046","null","1406","null","39515","1139","null","null",
"0500000US06069","San Benito County, California","18135","null","195","null","443","null","127","null","352","null","135","null","488","null","133","null","471","null","141","null","620","null","171","null","425","112","null","null","806","null","184","null","490","158","null","null","714","null","199","null","934","null","174","null","1980","null","274","null","2495","null","261","null","2628","null","366","null","1428","null","197","null","1904","null","260","null","1957","235","null","null",
"0500000US06071","San Bernardino County, California","636041","null","2447","null","32022","null","1149","null","28980","null","1048","null","25923","null","1220","null","28896","null","1226","null","27993","null","1088","null","29688","1356","null","null","26466","null","1138","null","27091","1185","null","null","24351","null","1141","null","50581","null","1721","null","64746","null","1856","null","88703","null","2250","null","62193","null","1545","null","39291","null","1505","null","44885","null","1505","null","34232","1418","null","null",
"0500000US06073","San Diego County, California","1125286","null","3400","null","46990","null","1672","null","37743","null","1436","null","35834","null","1378","null","39021","null","1302","null","40116","null","1587","null","40302","1460","null","null","39339","null","1501","null","40284","1648","null","null","36576","null","1141","null","77365","null","1997","null","104127","null","2253","null","146773","null","2438","null","118341","null","2656","null","84766","null","1914","null","105995","null","2479","null","131714","2587","null","null",
"0500000US06075","San Francisco County, California","362354","null","1777","null","17146","null","1086","null","18195","null","938","null","10671","null","847","null","10294","null","719","null","9026","null","748","null","8892","689","null","null","6996","null","586","null","8406","652","null","null","6924","null","645","null","14374","null","818","null","21178","null","975","null","32776","null","1313","null","30336","null","1079","null","26044","null","1041","null","43129","null","1149","null","97967","1765","null","null",
"0500000US06077","San Joaquin County, California","228567","null","1049","null","11002","null","841","null","10271","null","612","null","10073","null","654","null","10176","null","654","null","10199","null","567","null","10069","644","null","null","9407","null","683","null","8813","634","null","null","8888","null","669","null","17759","null","958","null","22709","null","853","null","29898","null","1186","null","21447","null","879","null","15241","null","1006","null","17143","null","899","null","15472","827","null","null",
"0500000US06079","San Luis Obispo County, California","105981","null","939","null","5501","null","576","null","3780","null","462","null","3471","null","388","null","4172","null","522","null","3532","null","392","null","3830","446","null","null","4225","null","480","null","3916","425","null","null","3411","null","471","null","7684","null","657","null","10389","null","693","null","14140","null","855","null","11542","null","791","null","7345","null","546","null","9422","null","700","null","9621","645","null","null",
"0500000US06081","San Mateo County, California","263543","null","1093","null","7110","null","547","null","5799","null","522","null","5510","null","570","null","5580","null","488","null","5559","null","524","null","6088","628","null","null","5619","null","522","null","6246","528","null","null","5242","null","532","null","11281","null","640","null","16880","null","927","null","28226","null","1131","null","24838","null","1051","null","20645","null","1039","null","33763","null","1259","null","75157","1185","null","null",
"0500000US06083","Santa Barbara County, California","145856","null","881","null","6807","null","590","null","5008","null","512","null","4738","null","467","null","5415","null","571","null","4456","null","512","null","5819","494","null","null","5976","null","571","null","5415","505","null","null","5511","null","496","null","10090","null","647","null","14002","null","801","null","18313","null","958","null","14342","null","835","null","10509","null","633","null","12128","null","722","null","17327","822","null","null",
"0500000US06085","Santa Clara County, California","640215","null","1602","null","19318","null","925","null","15984","null","874","null","13413","null","818","null","13741","null","751","null","13757","null","941","null","14560","836","null","null","14004","null","654","null","14108","743","null","null","13242","null","812","null","27458","null","1119","null","40680","null","1243","null","63431","null","1498","null","58544","null","1488","null","52595","null","1304","null","86446","null","1851","null","178934","2327","null","null",
"0500000US06087","Santa Cruz County, California","95818","null","913","null","4493","null","541","null","3801","null","432","null","3538","null","551","null","3319","null","443","null","3129","null","376","null","3272","444","null","null","3062","null","350","null","2948","407","null","null","2858","null","418","null","5940","null","596","null","7319","null","621","null","12012","null","674","null","9302","null","680","null","6696","null","534","null","9380","null","611","null","14749","705","null","null",
