"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"0500000US06039","Madera County, California","42516","null","609","null","2925","null","418","null","2437","null","348","null","2692","null","395","null","2992","389","null","null","2661","405","null","null","2914","null","383","null","1988","null","327","null","2466","null","367","null","1651","null","304","null","3930","425","null","null","4782","null","496","null","4039","null","442","null","3102","null","381","null","1670","null","248","null","1345","230","null","null","922","231","null","null",
"0500000US06041","Marin County, California","102912","null","870","null","3283","null","361","null","3944","null","423","null","3362","null","511","null","3399","416","null","null","3065","370","null","null","3701","null","429","null","3359","null","451","null","3426","null","483","null","2818","null","344","null","5869","574","null","null","7434","null","581","null","11573","null","702","null","10243","null","658","null","7633","null","561","null","10648","633","null","null","19155","790","null","null",
"0500000US06043","Mariposa County, California","7238","null","380","null","579","null","202","null","360","null","155","null","496","null","139","null","616","167","null","null","280","115","null","null","439","null","137","null","338","null","134","null","239","null","86","null","280","null","113","null","451","139","null","null","678","null","144","null","1033","null","237","null","760","null","195","null","328","null","130","null","241","134","null","null","120","66","null","null",
"0500000US06045","Mendocino County, California","33878","null","579","null","2355","null","319","null","3096","null","409","null","2429","null","327","null","2427","358","null","null","2136","287","null","null","1901","null","274","null","1424","null","285","null","1756","null","301","null","1420","null","271","null","3160","350","null","null","3426","null","356","null","3306","null","367","null","2191","null","309","null","1337","null","241","null","801","174","null","null","713","191","null","null",
"0500000US06047","Merced County, California","75409","null","640","null","5298","null","479","null","5646","null","548","null","5165","null","424","null","5484","523","null","null","4926","499","null","null","4992","null","494","null","3930","null","466","null","3869","null","373","null","3337","null","440","null","6310","570","null","null","7467","null","506","null","7828","null","611","null","4571","null","514","null","2549","null","328","null","2105","348","null","null","1932","318","null","null",
"0500000US06049","Modoc County, California","3983","null","193","null","406","null","117","null","342","null","117","null","223","null","89","null","502","143","null","null","228","82","null","null","243","null","109","null","320","null","101","null","132","null","69","null","170","null","94","null","181","86","null","null","380","null","124","null","417","null","122","null","236","null","94","null","147","null","79","null","27","31","null","null","29","21","null","null",
"0500000US06051","Mono County, California","5268","null","398","null","156","null","102","null","266","null","133","null","195","null","115","null","190","104","null","null","242","131","null","null","280","null","149","null","374","null","173","null","198","null","108","null","192","null","112","null","418","190","null","null","699","null","168","null","1048","null","238","null","435","null","170","null","342","null","140","null","141","83","null","null","92","74","null","null",
"0500000US06053","Monterey County, California","125428","null","949","null","5928","null","542","null","5435","null","504","null","6099","null","633","null","6656","525","null","null","5682","502","null","null","6154","null","475","null","5953","null","548","null","5764","null","520","null","5675","null","532","null","10149","660","null","null","13057","null","690","null","16387","null","808","null","11070","null","606","null","7373","null","579","null","7142","603","null","null","6904","441","null","null",
"0500000US06055","Napa County, California","49431","null","523","null","1661","null","277","null","1995","null","307","null","1787","null","282","null","2335","355","null","null","1485","218","null","null","2372","null","371","null","1864","null","302","null","2213","null","298","null","2085","null","272","null","3626","388","null","null","5073","null","471","null","6309","null","463","null","5404","null","481","null","3415","null","350","null","3713","297","null","null","4094","402","null","null",
"0500000US06057","Nevada County, California","40991","null","704","null","1843","null","282","null","2204","null","383","null","2065","null","310","null","2200","326","null","null","2157","365","null","null","2238","null","353","null","1680","null","254","null","2013","null","301","null","1716","null","308","null","3256","401","null","null","4053","null","481","null","5369","null","576","null","3905","null","431","null","2141","null","313","null","2227","298","null","null","1924","329","null","null",
"0500000US06059","Orange County, California","995512","null","2773","null","42554","null","1500","null","34341","null","1234","null","35385","null","1269","null","37305","1143","null","null","36525","1305","null","null","37720","null","1213","null","35848","null","1191","null","36014","null","1397","null","36101","null","1332","null","70537","1942","null","null","92733","null","2074","null","132255","null","2506","null","104158","null","2162","null","74144","null","1686","null","87957","1970","null","null","101935","1692","null","null",
"0500000US06061","Placer County, California","132709","null","780","null","5138","null","466","null","4469","null","451","null","5335","null","605","null","5224","518","null","null","5036","496","null","null","5615","null","519","null","5332","null","499","null","5244","null","575","null","4419","null","386","null","9470","713","null","null","13120","null","767","null","17822","null","855","null","15105","null","746","null","10264","null","770","null","11604","716","null","null","9512","580","null","null",
"0500000US06063","Plumas County, California","8997","null","404","null","677","null","165","null","740","null","208","null","531","null","150","null","493","142","null","null","500","141","null","null","638","null","167","null","426","null","122","null","422","null","152","null","409","null","140","null","942","235","null","null","788","null","156","null","1090","null","224","null","556","null","176","null","190","null","82","null","265","100","null","null","330","131","null","null",
"0500000US06065","Riverside County, California","683144","null","2876","null","35831","null","1449","null","35227","null","1286","null","34822","null","1320","null","36683","1364","null","null","34171","1407","null","null","35746","null","1322","null","31881","null","1265","null","32025","null","1472","null","29048","null","1249","null","53271","1448","null","null","70849","null","1936","null","89035","null","2026","null","60597","null","1686","null","38507","null","1438","null","38105","1259","null","null","27346","1012","null","null",
"0500000US06067","Sacramento County, California","517243","null","1737","null","30785","null","1131","null","30184","null","1372","null","25030","null","1223","null","26712","1371","null","null","25336","1064","null","null","26426","null","1123","null","25397","null","1083","null","24968","null","962","null","20773","null","1094","null","42088","1372","null","null","53454","null","1529","null","66406","null","1783","null","44929","null","1351","null","26444","null","1160","null","27954","1079","null","null","20357","874","null","null",
"0500000US06069","San Benito County, California","16995","null","222","null","681","null","145","null","718","null","189","null","686","null","179","null","934","182","null","null","503","128","null","null","797","null","214","null","726","null","181","null","720","null","170","null","662","null","161","null","1355","254","null","null","1691","null","237","null","2439","null","336","null","1924","null","233","null","1045","null","191","null","1209","180","null","null","905","196","null","null",
"0500000US06071","San Bernardino County, California","603879","null","2255","null","39908","null","1671","null","31994","null","1239","null","31577","null","1274","null","31664","1223","null","null","30948","1288","null","null","29134","null","1377","null","28947","null","1351","null","28636","null","1141","null","26982","null","1353","null","51043","1471","null","null","62807","null","1756","null","78116","null","2044","null","52784","null","1557","null","29950","null","1291","null","29847","1209","null","null","19542","853","null","null",
