"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"0500000US06019","Fresno County, California","296305","null","1246","null","23689","null","946","null","21084","null","1008","null","20119","null","982","null","18795","null","1076","null","18692","null","855","null","17035","null","887","null","13726","null","823","null","14415","null","750","null","12134","836","null","null","22636","960","null","null","28709","null","936","null","31240","1134","null","null","20431","null","952","null","12144","689","null","null","11955","null","681","null","9501","null","594","null",
"0500000US06021","Glenn County, California","9497","null","255","null","843","null","222","null","900","null","210","null","826","null","188","null","472","null","141","null","622","null","190","null","553","null","129","null","614","null","211","null","344","null","101","null","340","106","null","null","794","153","null","null","812","null","223","null","919","173","null","null","596","null","143","null","424","144","null","null","216","null","68","null","222","null","98","null",
"0500000US06023","Humboldt County, California","53036","null","637","null","4244","null","443","null","4368","null","455","null","3612","null","384","null","3651","null","450","null","3317","null","378","null","3171","null","364","null","2873","null","401","null","2690","null","345","null","2846","347","null","null","4531","421","null","null","4826","null","435","null","5717","486","null","null","3135","null","346","null","1527","189","null","null","1333","null","233","null","1195","null","190","null",
"0500000US06025","Imperial County, California","46452","null","648","null","4636","null","445","null","4568","null","473","null","2935","null","323","null","3220","null","347","null","2730","null","351","null","2621","null","356","null","2062","null","316","null","2173","null","329","null","1740","277","null","null","2903","415","null","null","4100","null","477","null","5037","450","null","null","3238","null","392","null","2072","276","null","null","1465","null","242","null","952","null","220","null",
"0500000US06027","Inyo County, California","7957","null","211","null","300","null","70","null","711","null","184","null","489","null","105","null","433","null","109","null","642","null","127","null","420","null","106","null","327","null","77","null","556","null","141","null","367","113","null","null","438","90","null","null","887","null","176","null","901","157","null","null","670","null","142","null","342","91","null","null","258","null","66","null","216","null","65","null",
"0500000US06029","Kern County, California","259700","null","1565","null","17888","null","935","null","17149","null","1023","null","15966","null","1094","null","16783","null","933","null","15167","null","994","null","13796","null","844","null","13452","null","848","null","11632","null","685","null","9722","761","null","null","19817","975","null","null","26319","null","1118","null","30477","1014","null","null","19903","null","1065","null","10905","688","null","null","12329","null","804","null","8395","null","539","null",
"0500000US06031","Kings County, California","41554","null","561","null","2898","null","324","null","2592","null","309","null","2300","null","348","null","2765","null","344","null","2210","null","357","null","2561","null","315","null","2459","null","382","null","2230","null","339","null","2065","330","null","null","3199","402","null","null","3818","null","361","null","5239","487","null","null","2660","null","328","null","1853","276","null","null","1600","null","207","null","1105","null","214","null",
"0500000US06033","Lake County, California","26993","null","581","null","2700","null","349","null","2444","null","363","null","2318","null","337","null","2179","null","343","null","1876","null","274","null","1836","null","312","null","1153","null","269","null","1201","null","251","null","1200","255","null","null","1907","341","null","null","2148","null","274","null","2798","371","null","null","1491","null","296","null","694","189","null","null","576","null","147","null","472","null","176","null",
"0500000US06035","Lassen County, California","9707","null","439","null","798","null","191","null","607","null","131","null","371","null","108","null","474","null","137","null","578","null","140","null","445","null","116","null","415","null","123","null","503","null","138","null","489","118","null","null","796","167","null","null","1285","null","193","null","1155","200","null","null","709","null","148","null","454","101","null","null","462","null","113","null","166","null","67","null",
"0500000US06037","Los Angeles County, California","3263069","null","4935","null","215249","null","2834","null","188195","null","2358","null","173375","null","2797","null","172086","null","2738","null","153658","null","3154","null","158980","null","2479","null","142702","null","2256","null","142601","null","2258","null","123969","2060","null","null","238748","3280","null","null","303103","null","2931","null","379488","3229","null","null","272632","null","3591","null","172125","2771","null","null","196545","null","2928","null","229613","null","2507","null",
"0500000US06039","Madera County, California","43159","null","755","null","3656","null","530","null","2404","null","288","null","2512","null","345","null","3114","null","438","null","2706","null","391","null","2341","null","311","null","2558","null","367","null","2255","null","358","null","2100","388","null","null","3804","522","null","null","4464","null","477","null","4128","405","null","null","3147","null","337","null","1695","238","null","null","1316","null","246","null","959","null","212","null",
"0500000US06041","Marin County, California","103670","null","720","null","3613","null","432","null","3738","null","362","null","3203","null","339","null","3432","null","450","null","2879","null","362","null","3183","null","322","null","3533","null","414","null","2989","null","386","null","3006","360","null","null","5500","463","null","null","7577","null","653","null","11540","726","null","null","10547","null","691","null","7167","636","null","null","10577","null","654","null","21186","null","837","null",
"0500000US06043","Mariposa County, California","7345","null","316","null","574","null","161","null","258","null","108","null","540","null","118","null","557","null","140","null","195","null","78","null","399","null","100","null","481","null","153","null","477","null","146","null","313","105","null","null","536","144","null","null","713","null","137","null","854","167","null","null","643","null","181","null","392","119","null","null","250","null","86","null","163","null","79","null",
"0500000US06045","Mendocino County, California","34017","null","552","null","2676","null","327","null","3079","null","332","null","2256","null","315","null","2343","null","373","null","1900","null","307","null","2445","null","363","null","1374","null","256","null","1603","null","315","null","1191","252","null","null","2889","371","null","null","3581","null","442","null","3445","358","null","null","2063","null","259","null","1484","284","null","null","899","null","177","null","789","null","183","null",
"0500000US06047","Merced County, California","77692","null","633","null","5718","null","450","null","5840","null","466","null","5235","null","533","null","5381","null","508","null","4951","null","413","null","5048","null","509","null","4644","null","448","null","3781","null","464","null","3307","378","null","null","6645","508","null","null","7367","null","561","null","7937","635","null","null","4750","null","468","null","2819","367","null","null","2344","null","315","null","1925","null","313","null",
"0500000US06049","Modoc County, California","3745","null","214","null","480","null","149","null","231","null","84","null","179","null","64","null","330","null","113","null","383","null","133","null","198","null","77","null","211","null","96","null","227","null","88","null","195","83","null","null","206","78","null","null","370","null","110","null","303","89","null","null","271","null","109","null","115","66","null","null","12","null","17","null","34","null","39","null",
"0500000US06051","Mono County, California","4906","null","405","null","71","null","52","null","220","null","142","null","160","null","97","null","152","null","88","null","205","null","143","null","356","null","181","null","397","null","167","null","116","null","93","null","332","171","null","null","492","178","null","null","572","null","211","null","820","250","null","null","445","null","191","null","284","125","null","null","120","null","70","null","164","null","117","null",
