"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"0500000US06089","Shasta County, California","68880","null","736","null","4765","null","522","null","5830","null","490","null","4035","null","404","null","4504","386","null","null","3882","467","null","null","4188","432","null","null","3963","null","391","null","3656","null","397","null","3118","369","null","null","5745","487","null","null","7062","508","null","null","7680","null","522","null","4419","null","426","null","1958","null","288","null","2392","327","null","null","1683","255","null","null",
"0500000US06091","Sierra County, California","1338","null","149","null","112","null","78","null","84","null","53","null","166","null","100","null","64","47","null","null","86","56","null","null","35","24","null","null","60","null","40","null","108","null","62","null","18","24","null","null","171","75","null","null","85","51","null","null","169","null","83","null","99","null","58","null","53","null","47","null","8","13","null","null","20","15","null","null",
"0500000US06093","Siskiyou County, California","19585","null","324","null","1561","null","228","null","2052","null","252","null","1665","null","242","null","1633","218","null","null","1160","185","null","null","1091","154","null","null","1063","null","186","null","1126","null","167","null","829","115","null","null","1796","227","null","null","1685","256","null","null","1921","null","238","null","979","null","143","null","435","null","100","null","341","92","null","null","248","70","null","null",
"0500000US06095","Solano County, California","140295","null","898","null","6294","null","491","null","5678","null","442","null","5204","null","535","null","5419","544","null","null","5212","470","null","null","5909","481","null","null","5176","null","490","null","5748","null","538","null","4868","492","null","null","11195","718","null","null","15835","833","null","null","20834","null","932","null","14907","null","729","null","9641","null","574","null","10650","603","null","null","7725","616","null","null",
"0500000US06097","Sonoma County, California","184502","null","1128","null","7873","null","590","null","7477","null","592","null","8348","null","626","null","9220","679","null","null","8498","671","null","null","7644","627","null","null","7827","null","648","null","9016","null","560","null","7566","567","null","null","14441","698","null","null","18881","957","null","null","24643","null","1067","null","17737","null","881","null","11920","null","766","null","11973","682","null","null","11438","749","null","null",
"0500000US06099","Stanislaus County, California","165999","null","953","null","10001","null","707","null","10923","null","625","null","10009","null","734","null","9837","670","null","null","9405","641","null","null","9259","651","null","null","8682","null","750","null","7936","null","642","null","7166","491","null","null","13522","771","null","null","17150","835","null","null","20476","null","973","null","12396","null","706","null","8036","null","535","null","6415","460","null","null","4786","483","null","null",
"0500000US06101","Sutter County, California","31635","null","360","null","1544","null","246","null","2053","null","248","null","2122","null","278","null","1794","286","null","null","1517","205","null","null","1661","259","null","null","1763","null","273","null","1826","null","335","null","1372","266","null","null","2917","382","null","null","3410","388","null","null","3623","null","351","null","2598","null","317","null","1126","null","173","null","1466","243","null","null","843","136","null","null",
"0500000US06103","Tehama County, California","23552","null","356","null","1505","null","279","null","2033","null","296","null","1758","null","242","null","1598","280","null","null","1512","276","null","null","1737","296","null","null","1522","null","262","null","1451","null","298","null","1145","239","null","null","2174","254","null","null","2278","270","null","null","1952","null","238","null","1421","null","266","null","691","null","173","null","419","115","null","null","356","112","null","null",
"0500000US06105","Trinity County, California","5811","null","257","null","416","null","130","null","381","null","96","null","564","null","139","null","505","155","null","null","433","147","null","null","486","138","null","null","346","null","143","null","258","null","124","null","267","107","null","null","315","94","null","null","600","147","null","null","549","null","139","null","355","null","123","null","137","null","83","null","118","71","null","null","81","60","null","null",
"0500000US06107","Tulare County, California","129996","null","890","null","9385","null","632","null","8829","null","581","null","8668","null","539","null","8961","518","null","null","8471","586","null","null","8199","495","null","null","7273","null","636","null","6744","null","626","null","5839","530","null","null","10905","696","null","null","12904","708","null","null","13052","null","679","null","7987","null","578","null","5434","null","541","null","4508","477","null","null","2837","340","null","null",
"0500000US06109","Tuolumne County, California","22105","null","516","null","1237","null","238","null","1495","null","284","null","1289","null","307","null","1288","258","null","null","1374","263","null","null","1465","282","null","null","1204","null","276","null","808","null","199","null","1313","286","null","null","2065","305","null","null","2100","321","null","null","2626","null","336","null","1506","null","265","null","837","null","201","null","696","179","null","null","802","197","null","null",
"0500000US06111","Ventura County, California","265951","null","954","null","9349","null","620","null","9626","null","618","null","8955","null","715","null","10549","638","null","null","9210","650","null","null","10049","637","null","null","8777","null","638","null","10200","null","686","null","9641","643","null","null","18434","809","null","null","25723","930","null","null","36463","null","1095","null","29472","null","922","null","21136","null","932","null","24250","885","null","null","24117","972","null","null",
"0500000US06113","Yolo County, California","70090","null","755","null","4346","null","486","null","4226","null","453","null","3936","null","486","null","3624","421","null","null","3901","369","null","null","2509","325","null","null","3134","null","374","null","2812","null","365","null","2704","405","null","null","5146","442","null","null","6374","573","null","null","8524","null","632","null","6142","null","509","null","4057","null","426","null","4980","435","null","null","3675","342","null","null",
"0500000US06115","Yuba County, California","24133","null","492","null","1298","null","216","null","1526","null","297","null","1636","null","304","null","1597","269","null","null","1696","275","null","null","1368","234","null","null","1162","null","228","null","1469","null","277","null","903","236","null","null","2231","359","null","null","2671","367","null","null","3133","null","336","null","1472","null","271","null","799","null","201","null","794","209","null","null","378","144","null","null",
