"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"0500000US06085","Santa Clara County, California","635525","1810","null","null","20454","974","null","null","17520","864","null","null","14317","792","null","null","14773","777","null","null","14573","854","null","null","14703","732","null","null","14926","908","null","null","15293","null","768","null","14016","null","748","null","28824","1140","null","null","42403","null","1426","null","65389","null","1560","null","59791","null","1333","null","54878","null","1400","null","83325","1750","null","null","160340","null","2096","null",
"0500000US06087","Santa Cruz County, California","95756","961","null","null","4893","542","null","null","4046","438","null","null","3273","393","null","null","3818","450","null","null","3275","441","null","null","3459","497","null","null","2894","431","null","null","3506","null","481","null","2776","null","467","null","6636","637","null","null","7717","null","610","null","11540","null","695","null","9305","null","686","null","6350","null","505","null","8902","552","null","null","13366","null","708","null",
"0500000US06089","Shasta County, California","70473","580","null","null","4231","385","null","null","4935","471","null","null","3799","447","null","null","4058","406","null","null","3836","409","null","null","3705","401","null","null","3625","393","null","null","3578","null","419","null","2951","null","310","null","5169","419","null","null","7835","null","624","null","8110","null","561","null","5160","null","481","null","3041","null","353","null","3722","360","null","null","2718","null","268","null",
"0500000US06091","Sierra County, California","1241","141","null","null","45","49","null","null","127","73","null","null","88","71","null","null","57","41","null","null","49","24","null","null","69","39","null","null","15","16","null","null","88","null","51","null","93","null","75","null","76","50","null","null","63","null","38","null","135","null","70","null","176","null","80","null","87","null","64","null","48","28","null","null","25","null","25","null",
"0500000US06093","Siskiyou County, California","19257","305","null","null","1554","222","null","null","1307","194","null","null","1227","181","null","null","1453","194","null","null","1169","193","null","null","1025","150","null","null","1044","175","null","null","972","null","171","null","853","null","146","null","1663","223","null","null","1841","null","184","null","2157","null","239","null","1212","null","169","null","727","null","162","null","619","136","null","null","434","null","130","null",
"0500000US06095","Solano County, California","149067","608","null","null","6100","548","null","null","5323","521","null","null","4218","399","null","null","5220","463","null","null","5065","557","null","null","5209","452","null","null","5003","448","null","null","5745","null","444","null","5221","null","503","null","10308","688","null","null","14907","null","773","null","21756","null","960","null","16813","null","815","null","11636","null","721","null","14073","738","null","null","12470","null","729","null",
"0500000US06097","Sonoma County, California","189339","918","null","null","7132","581","null","null","6950","520","null","null","6928","690","null","null","6193","547","null","null","6559","535","null","null","6979","560","null","null","6600","532","null","null","6966","null","612","null","5950","null","559","null","13929","807","null","null","18336","null","802","null","27194","null","906","null","19433","null","791","null","13669","null","746","null","17769","914","null","null","18752","null","826","null",
"0500000US06099","Stanislaus County, California","172682","777","null","null","8860","657","null","null","8979","515","null","null","8583","640","null","null","7993","668","null","null","8266","626","null","null","9120","654","null","null","8160","562","null","null","7930","null","712","null","7366","null","608","null","14255","676","null","null","17985","null","838","null","22512","null","1017","null","16265","null","794","null","9612","null","746","null","9042","624","null","null","7754","null","587","null",
"0500000US06101","Sutter County, California","32360","312","null","null","1593","239","null","null","1561","222","null","null","1632","279","null","null","1652","305","null","null","1502","248","null","null","1784","313","null","null","1642","226","null","null","1435","null","287","null","1475","null","226","null","2630","281","null","null","3572","null","388","null","3959","null","390","null","3085","null","314","null","1777","null","218","null","1721","248","null","null","1340","null","189","null",
"0500000US06103","Tehama County, California","24025","435","null","null","1658","304","null","null","1774","257","null","null","1754","329","null","null","1995","299","null","null","1426","269","null","null","1459","328","null","null","1131","192","null","null","1260","null","273","null","972","null","248","null","2030","310","null","null","2355","null","354","null","2530","null","369","null","1547","null","275","null","711","null","137","null","776","195","null","null","647","null","179","null",
"0500000US06105","Trinity County, California","5796","216","null","null","577","156","null","null","504","122","null","null","382","130","null","null","485","155","null","null","353","126","null","null","416","127","null","null","267","96","null","null","322","null","99","null","214","null","78","null","413","111","null","null","542","null","172","null","556","null","137","null","356","null","115","null","137","null","74","null","164","82","null","null","108","null","55","null",
"0500000US06107","Tulare County, California","136106","817","null","null","9449","788","null","null","9406","685","null","null","8420","660","null","null","8835","680","null","null","7327","579","null","null","7825","718","null","null","7171","583","null","null","6636","null","582","null","5962","null","556","null","11234","768","null","null","12807","null","805","null","15118","null","955","null","9449","null","637","null","5855","null","531","null","5448","508","null","null","5164","null","500","null",
"0500000US06109","Tuolumne County, California","22427","607","null","null","1297","241","null","null","1450","265","null","null","984","220","null","null","1078","255","null","null","1338","273","null","null","1008","237","null","null","863","185","null","null","977","null","214","null","994","null","219","null","1782","294","null","null","2263","null","364","null","3114","null","394","null","1745","null","277","null","1293","null","265","null","886","223","null","null","1355","null","230","null",
"0500000US06111","Ventura County, California","271226","1122","null","null","8653","569","null","null","7711","593","null","null","7936","703","null","null","8808","620","null","null","8806","627","null","null","9115","643","null","null","8693","632","null","null","9722","null","623","null","8429","null","623","null","17873","846","null","null","24938","null","1046","null","38297","null","1488","null","29965","null","1167","null","21544","null","924","null","27073","931","null","null","33663","null","1040","null",
"0500000US06113","Yolo County, California","73510","592","null","null","5640","411","null","null","3773","450","null","null","3197","374","null","null","3233","447","null","null","2585","377","null","null","2857","419","null","null","2442","367","null","null","2552","null","317","null","2441","null","320","null","5533","510","null","null","6670","null","533","null","8701","null","735","null","6333","null","425","null","4720","null","413","null","5690","581","null","null","7143","null","447","null",
"0500000US06115","Yuba County, California","26179","329","null","null","1289","218","null","null","1879","334","null","null","1357","296","null","null","1478","287","null","null","1323","271","null","null","1174","249","null","null","1669","354","null","null","1260","null","263","null","1027","null","211","null","2122","336","null","null","2622","null","397","null","3264","null","385","null","2363","null","346","null","1228","null","244","null","1450","265","null","null","674","null","165","null",
