"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1400000US06013345103","Census Tract 3451.03, Contra Costa County, California","1795","null","93","null","24","null","23","null","39","null","29","null","93","null","54","null","73","null","53","null","42","null","31","null","65","null","71","null","65","null","37","null","44","null","47","null","27","26","null","null","43","37","null","null","105","null","45","null","133","50","null","null","127","null","61","null","187","72","null","null","296","null","86","null","432","null","91","null",
"1400000US06013345105","Census Tract 3451.05, Contra Costa County, California","2253","null","119","null","114","null","81","null","13","null","21","null","35","null","56","null","28","null","33","null","14","null","23","null","35","null","43","null","50","null","43","null","91","null","78","null","29","32","null","null","65","65","null","null","162","null","75","null","338","120","null","null","220","null","94","null","308","107","null","null","359","null","118","null","392","null","125","null",
"1400000US06013345108","Census Tract 3451.08, Contra Costa County, California","3084","null","140","null","24","null","29","null","14","null","23","null","101","null","89","null","0","null","17","null","95","null","86","null","26","null","25","null","0","null","17","null","101","null","69","null","30","29","null","null","115","74","null","null","211","null","93","null","401","142","null","null","503","null","174","null","276","112","null","null","423","null","158","null","764","null","157","null",
"1400000US06013345111","Census Tract 3451.11, Contra Costa County, California","1881","null","81","null","46","null","38","null","10","null","16","null","0","null","17","null","0","null","17","null","52","null","49","null","6","null","10","null","27","null","31","null","147","null","135","null","53","60","null","null","177","104","null","null","106","null","69","null","251","86","null","null","193","null","73","null","173","70","null","null","317","null","115","null","323","null","92","null",
"1400000US06013345112","Census Tract 3451.12, Contra Costa County, California","2416","null","110","null","36","null","42","null","0","null","17","null","21","null","33","null","50","null","48","null","70","null","77","null","110","null","101","null","24","null","39","null","29","null","40","null","43","41","null","null","38","43","null","null","257","null","144","null","403","154","null","null","247","null","124","null","179","94","null","null","243","null","101","null","666","null","173","null",
"1400000US06013345113","Census Tract 3451.13, Contra Costa County, California","1453","null","36","null","19","null","23","null","12","null","18","null","0","null","12","null","0","null","12","null","20","null","23","null","0","null","12","null","35","null","32","null","0","null","12","null","22","24","null","null","20","24","null","null","163","null","79","null","132","65","null","null","156","null","85","null","91","49","null","null","316","null","84","null","467","null","95","null",
"1400000US06013345114","Census Tract 3451.14, Contra Costa County, California","2534","null","100","null","61","null","63","null","57","null","72","null","15","null","23","null","14","null","22","null","0","null","17","null","39","null","41","null","0","null","17","null","41","null","38","null","42","36","null","null","123","67","null","null","227","null","95","null","198","83","null","null","307","null","131","null","160","76","null","null","360","null","148","null","890","null","151","null",
"1400000US06013345115","Census Tract 3451.15, Contra Costa County, California","1874","null","59","null","60","null","39","null","9","null","14","null","19","null","21","null","7","null","11","null","0","null","17","null","16","null","24","null","29","null","45","null","7","null","11","null","19","23","null","null","47","46","null","null","117","null","57","null","137","60","null","null","209","null","79","null","174","68","null","null","355","null","96","null","669","null","126","null",
"1400000US06013345116","Census Tract 3451.16, Contra Costa County, California","891","null","30","null","0","null","12","null","15","null","15","null","16","null","16","null","0","null","12","null","4","null","6","null","13","null","14","null","19","null","16","null","9","null","9","null","10","10","null","null","28","20","null","null","31","null","17","null","38","27","null","null","152","null","56","null","133","55","null","null","232","null","55","null","191","null","46","null",
"1400000US06013345202","Census Tract 3452.02, Contra Costa County, California","3258","null","82","null","16","null","25","null","25","null","28","null","104","null","82","null","15","null","23","null","137","null","89","null","38","null","30","null","80","null","59","null","185","null","122","null","74","54","null","null","185","90","null","null","188","null","105","null","289","107","null","null","418","null","142","null","334","107","null","null","589","null","163","null","581","null","181","null",
