"GEO_ID","NAME","P004001","P004002","P004003","P004004","P004005","P004006","P004007","P004008","P004009","P004010","P004011","P004012","P004013","P004014","P004015","P004016","P004017","P004018","P004019","P004020","P004021","P004022","P004023","P004024","P004025","P004026","P004027","P004028","P004029","P004030","P004031","P004032","P004033","P004034","P004035","P004036","P004037","P004038","P004039","P004040","P004041","P004042","P004043","P004044","P004045","P004046","P004047","P004048","P004049","P004050","P004051","P004052","P004053","P004054","P004055","P004056","P004057","P004058","P004059","P004060","P004061","P004062","P004063","P004064","P004065","P004066","P004067","P004068","P004069","P004070","P004071","P004072","P004073",
"1400000US06037462400","Census Tract 4624, Los Angeles County, California","4365","1323","3042","2835","2056","396","23","352","0","8","207","201","32","15","44","3","81","2","8","1","3","2","0","1","4","5","0","6","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037462500","Census Tract 4625, Los Angeles County, California","6046","912","5134","4783","3879","294","14","565","11","20","351","342","11","7","57","1","229","0","4","0","3","0","0","1","15","11","3","7","1","3","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037462600","Census Tract 4626, Los Angeles County, California","2338","363","1975","1891","1517","121","9","237","1","6","84","82","5","9","32","0","27","1","2","0","1","0","0","0","4","1","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037462700","Census Tract 4627, Los Angeles County, California","5500","1848","3652","3391","2127","462","21","759","4","18","261","245","21","10","33","3","146","5","2","0","8","0","0","0","1","16","0","16","4","0","0","2","1","0","1","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037462800","Census Tract 4628, Los Angeles County, California","2966","930","2036","1886","1251","318","9","295","0","13","150","139","13","10","27","0","66","5","3","0","2","0","0","0","3","10","0","9","7","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037462900","Census Tract 4629, Los Angeles County, California","3659","939","2720","2577","2014","128","14","409","5","7","143","130","16","13","30","1","52","4","1","0","6","0","0","0","2","5","0","13","4","0","0","1","0","0","0","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037463000","Census Tract 4630, Los Angeles County, California","1834","237","1597","1529","1192","80","5","245","3","4","68","68","6","2","13","0","34","0","1","0","2","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037463101","Census Tract 4631.01, Los Angeles County, California","2458","859","1599","1488","916","76","16","477","2","1","111","106","8","2","22","0","55","0","4","0","0","0","0","1","4","10","0","4","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"1400000US06037463102","Census Tract 4631.02, Los Angeles County, California","3656","1301","2355","2228","1397","68","4","753","1","5","127","116","7","4","30","1","43","1","3","0","1","1","0","0","9","16","0","10","0","0","0","0","1","0","0","5","3","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037463200","Census Tract 4632, Los Angeles County, California","3569","862","2707","2602","1736","198","3","656","5","4","105","98","11","4","31","3","33","1","1","0","0","0","1","0","1","12","0","7","1","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
