"GEO_ID","NAME","P002001","P002001ERR","P002002","P002003","P002004","P002005","P002006","P002007","P002008","P002009","P002010","P002011","P002012","P002013","P002014","P002015","P002016","P002017","P002018","P002019","P002020","P002021","P002022","P002023","P002024","P002025","P002026","P002027","P002028","P002029","P002030","P002031","P002032","P002033","P002034","P002035","P002036","P002037","P002038","P002039","P002040","P002041","P002042","P002043","P002044","P002045","P002046","P002047","P002048","P002049","P002050","P002051","P002052","P002053","P002054","P002055","P002056","P002057","P002058","P002059","P002060","P002061","P002062","P002063","P002064","P002065","P002066","P002067","P002068","P002069","P002070","P002071","P002072","P002073",
"1400000US06087121100","Census Tract 1211, Santa Cruz County, California","2963","null","374","2589","2484","2367","15","10","79","2","11","105","101","21","22","38","8","3","3","2","0","0","1","0","0","2","1","0","4","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087121200","Census Tract 1212, Santa Cruz County, California","6114","null","432","5682","5476","5214","34","10","197","10","11","206","194","28","39","102","14","4","1","0","0","0","2","0","0","2","2","0","11","1","3","2","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087121300","Census Tract 1213, Santa Cruz County, California","4144","null","1106","3038","2941","2724","53","17","134","8","5","97","92","18","24","37","2","2","2","0","0","0","3","0","4","0","0","0","5","1","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087121401","Census Tract 1214.01, Santa Cruz County, California","2683","null","686","1997","1909","1718","24","11","141","2","13","88","81","17","17","36","4","2","0","0","0","0","0","0","0","5","0","0","7","2","2","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087121402","Census Tract 1214.02, Santa Cruz County, California","4373","null","1465","2908","2778","2473","37","19","241","5","3","130","111","30","34","31","4","8","0","1","0","0","1","0","0","2","0","0","17","11","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087121403","Census Tract 1214.03, Santa Cruz County, California","3362","null","792","2570","2476","2299","55","15","84","12","11","94","87","18","18","36","8","0","2","1","0","0","2","0","0","1","1","0","6","2","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087121500","Census Tract 1215, Santa Cruz County, California","4917","null","1109","3808","3653","3421","58","35","119","7","13","155","133","34","45","37","3","9","0","3","0","0","0","0","0","0","2","0","14","8","2","0","0","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","2","0","0","1","0","0","0","0","0","0","0","0","4","1","1","2","0","0","0","0","0",
"1400000US06087121600","Census Tract 1216, Santa Cruz County, California","6159","null","1216","4943","4786","4535","49","30","145","5","22","157","144","20","46","52","8","5","2","3","0","0","2","0","0","3","3","0","13","4","1","0","0","2","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087121700","Census Tract 1217, Santa Cruz County, California","7458","null","1935","5523","5292","4747","105","26","386","15","13","231","216","45","50","84","8","7","6","8","1","0","0","1","0","1","3","2","13","3","1","0","0","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0",
"1400000US06087121800","Census Tract 1218, Santa Cruz County, California","4796","null","701","4095","3952","3715","41","16","167","4","9","143","126","15","33","53","9","6","0","2","0","0","0","0","0","8","0","0","17","1","2","0","0","0","1","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
