"GEO_ID","NAME","P052001","P052002","P052003","P052004","P052005","P052006","P052007","P052008","P052009","P052010","P052011","P052012","P052013","P052014","P052015","P052016","P052017",
"1500000US060014045022","Block Group 2, Census Tract 4045.02, Alameda County, California","555","17","7","6","10","0","21","9","20","0","27","35","68","116","22","75","122",
"1500000US060014045023","Block Group 3, Census Tract 4045.02, Alameda County, California","658","0","7","15","6","32","0","19","21","7","60","30","119","73","66","96","107",
"1500000US060014045024","Block Group 4, Census Tract 4045.02, Alameda County, California","787","16","17","24","0","22","15","0","12","29","71","141","159","133","65","22","61",
"1500000US060014046001","Block Group 1, Census Tract 4046, Alameda County, California","440","4","0","10","11","0","0","6","19","6","34","52","82","58","48","58","52",
"1500000US060014046002","Block Group 2, Census Tract 4046, Alameda County, California","335","6","0","0","0","14","0","0","0","0","23","49","12","25","41","72","93",
"1500000US060014046003","Block Group 3, Census Tract 4046, Alameda County, California","465","14","0","12","0","6","0","16","5","6","17","46","74","47","35","85","102",
"1500000US060014046004","Block Group 4, Census Tract 4046, Alameda County, California","505","12","6","5","23","0","6","7","5","17","15","74","63","33","85","79","75",
"1500000US060014047001","Block Group 1, Census Tract 4047, Alameda County, California","311","0","5","15","5","3","3","5","12","9","15","32","12","49","45","26","75",
"1500000US060014047002","Block Group 2, Census Tract 4047, Alameda County, California","399","4","15","14","0","14","0","6","6","6","7","22","82","75","32","48","68",
"1500000US060014048001","Block Group 1, Census Tract 4048, Alameda County, California","636","64","41","27","15","46","17","34","17","8","73","99","92","36","23","31","13",
"1500000US060014048002","Block Group 2, Census Tract 4048, Alameda County, California","681","83","46","35","58","23","29","25","13","36","42","79","98","32","27","20","35",
"1500000US060014049001","Block Group 1, Census Tract 4049, Alameda County, California","382","17","16","12","0","6","15","5","5","29","37","17","41","88","46","28","20",
"1500000US060014049002","Block Group 2, Census Tract 4049, Alameda County, California","567","91","39","12","46","15","35","7","21","35","39","72","68","47","6","21","13",
"1500000US060014049003","Block Group 3, Census Tract 4049, Alameda County, California","497","25","24","28","57","27","31","42","20","31","46","30","72","36","22","6","0",
"1500000US060014049004","Block Group 4, Census Tract 4049, Alameda County, California","508","12","9","12","12","30","26","10","42","23","18","70","58","75","40","53","18",
"1500000US060014050001","Block Group 1, Census Tract 4050, Alameda County, California","348","13","15","22","5","12","8","12","19","18","33","38","30","32","52","34","5",
"1500000US060014050002","Block Group 2, Census Tract 4050, Alameda County, California","526","33","22","16","7","0","21","16","18","23","32","75","42","74","45","66","36",
"1500000US060014050003","Block Group 3, Census Tract 4050, Alameda County, California","692","90","54","25","5","9","26","42","22","8","42","74","153","51","48","15","28",
"1500000US060014051001","Block Group 1, Census Tract 4051, Alameda County, California","382","0","0","0","14","0","8","6","16","6","21","20","36","31","45","53","126",
"1500000US060014051002","Block Group 2, Census Tract 4051, Alameda County, California","249","0","6","3","0","6","6","8","0","0","14","12","37","45","35","57","20",
"1500000US060014051003","Block Group 3, Census Tract 4051, Alameda County, California","326","0","4","0","31","0","0","6","15","0","10","30","41","53","20","39","77",
"1500000US060014051004","Block Group 4, Census Tract 4051, Alameda County, California","270","31","0","6","13","3","8","5","11","10","9","23","54","49","11","21","16",
"1500000US060014051005","Block Group 5, Census Tract 4051, Alameda County, California","367","33","5","0","0","21","30","0","6","0","31","19","59","36","29","35","63",
"1500000US060014052001","Block Group 1, Census Tract 4052, Alameda County, California","718","63","31","23","53","24","56","45","81","35","58","90","66","19","18","44","12",
"1500000US060014052002","Block Group 2, Census Tract 4052, Alameda County, California","570","50","52","29","33","63","30","42","42","40","59","27","44","6","17","0","36",
"1500000US060014052003","Block Group 3, Census Tract 4052, Alameda County, California","467","22","16","18","0","45","7","35","40","39","20","38","66","61","15","28","17",
"1500000US060014052004","Block Group 4, Census Tract 4052, Alameda County, California","738","32","9","32","32","16","78","60","29","74","67","157","47","36","61","0","8",
"1500000US060014053001","Block Group 1, Census Tract 4053, Alameda County, California","1103","55","52","87","64","69","140","58","94","35","96","132","98","49","34","31","9",
"1500000US060014053002","Block Group 2, Census Tract 4053, Alameda County, California","728","75","18","53","71","23","95","83","16","50","92","71","36","12","33","0","0",
"1500000US060014053003","Block Group 3, Census Tract 4053, Alameda County, California","521","50","31","117","22","55","61","18","16","37","13","62","35","4","0","0","0",
"1500000US060014053004","Block Group 4, Census Tract 4053, Alameda County, California","732","161","62","56","62","18","73","85","14","6","0","38","54","20","10","73","0",
"1500000US060014054001","Block Group 1, Census Tract 4054, Alameda County, California","467","28","52","23","67","44","19","64","81","15","18","34","7","15","0","0","0",
"1500000US060014054002","Block Group 2, Census Tract 4054, Alameda County, California","415","55","27","62","54","46","49","15","14","32","30","19","1","11","0","0","0",
"1500000US060014054003","Block Group 3, Census Tract 4054, Alameda County, California","207","57","43","28","7","6","25","0","11","0","0","11","6","13","0","0","0",
"1500000US060014054004","Block Group 4, Census Tract 4054, Alameda County, California","436","85","45","11","43","68","32","7","28","8","35","40","6","9","16","3","0",
"1500000US060014054005","Block Group 5, Census Tract 4054, Alameda County, California","614","120","66","65","67","34","48","27","23","0","52","53","42","0","17","0","0",
"1500000US060014054006","Block Group 6, Census Tract 4054, Alameda County, California","672","100","66","52","29","58","45","75","46","20","55","29","54","21","13","0","9",
"1500000US060014055001","Block Group 1, Census Tract 4055, Alameda County, California","224","55","8","0","30","9","13","9","0","16","52","10","22","0","0","0","0",
"1500000US060014055002","Block Group 2, Census Tract 4055, Alameda County, California","411","99","50","15","38","0","15","16","30","28","20","50","39","0","11","0","0",
"1500000US060014055003","Block Group 3, Census Tract 4055, Alameda County, California","319","36","27","24","11","18","35","5","7","32","42","24","27","8","6","0","17",
"1500000US060014055004","Block Group 4, Census Tract 4055, Alameda County, California","599","66","61","33","17","60","31","47","39","51","49","53","61","15","10","6","0",
"1500000US060014056001","Block Group 1, Census Tract 4056, Alameda County, California","264","29","14","32","19","25","25","6","15","9","22","18","14","26","0","0","10",
"1500000US060014056002","Block Group 2, Census Tract 4056, Alameda County, California","395","40","36","17","21","65","39","10","35","13","42","12","10","12","12","31","0",
"1500000US060014056003","Block Group 3, Census Tract 4056, Alameda County, California","790","51","78","65","39","44","41","74","71","44","14","85","104","59","13","8","0",
"1500000US060014057001","Block Group 1, Census Tract 4057, Alameda County, California","527","47","25","23","61","41","39","45","66","16","33","68","37","15","8","3","0",
"1500000US060014057002","Block Group 2, Census Tract 4057, Alameda County, California","396","59","85","7","18","47","32","29","34","25","20","17","7","16","0","0","0",
"1500000US060014057003","Block Group 3, Census Tract 4057, Alameda County, California","420","34","61","14","27","32","13","59","32","17","35","54","32","5","5","0","0",
"1500000US060014058001","Block Group 1, Census Tract 4058, Alameda County, California","334","48","21","46","2","25","17","14","24","7","22","39","61","4","4","0","0",
"1500000US060014058002","Block Group 2, Census Tract 4058, Alameda County, California","296","26","20","31","39","31","20","18","6","30","10","39","0","26","0","0","0",
"1500000US060014058003","Block Group 3, Census Tract 4058, Alameda County, California","448","71","17","54","21","40","57","20","31","17","36","10","17","33","18","0","6",
"1500000US060014058004","Block Group 4, Census Tract 4058, Alameda County, California","247","35","16","24","14","38","5","4","12","0","19","30","18","13","19","0","0",
"1500000US060014059001","Block Group 1, Census Tract 4059, Alameda County, California","423","63","66","63","29","23","8","15","14","33","26","32","28","23","0","0","0",
"1500000US060014059002","Block Group 2, Census Tract 4059, Alameda County, California","274","17","40","21","6","24","22","27","19","17","29","7","41","0","0","4","0",
"1500000US060014059003","Block Group 3, Census Tract 4059, Alameda County, California","401","67","24","30","28","62","59","0","20","8","21","35","22","11","5","0","9",
"1500000US060014059004","Block Group 4, Census Tract 4059, Alameda County, California","315","52","0","17","52","35","14","23","6","21","7","45","12","25","0","6","0",
"1500000US060014059005","Block Group 5, Census Tract 4059, Alameda County, California","211","12","0","0","46","52","14","27","21","12","18","9","0","0","0","0","0",
"1500000US060014059006","Block Group 6, Census Tract 4059, Alameda County, California","419","80","54","17","77","19","17","14","27","31","38","25","5","6","5","4","0",
"1500000US060014060001","Block Group 1, Census Tract 4060, Alameda County, California","309","34","16","0","26","21","46","38","17","3","29","20","12","4","16","21","6",
"1500000US060014060002","Block Group 2, Census Tract 4060, Alameda County, California","247","30","6","13","17","37","10","18","17","0","11","11","26","21","12","18","0",
"1500000US060014060003","Block Group 3, Census Tract 4060, Alameda County, California","763","178","88","111","45","57","27","54","6","28","53","62","0","33","0","0","21",
"1500000US060014061001","Block Group 1, Census Tract 4061, Alameda County, California","349","55","21","56","28","27","34","48","15","4","9","17","23","12","0","0","0",
"1500000US060014061002","Block Group 2, Census Tract 4061, Alameda County, California","234","23","0","10","42","25","8","9","31","20","24","31","11","0","0","0","0",
"1500000US060014061003","Block Group 3, Census Tract 4061, Alameda County, California","186","6","9","23","12","16","10","0","23","0","13","32","6","21","4","0","11",
"1500000US060014061004","Block Group 4, Census Tract 4061, Alameda County, California","424","64","30","3","54","25","29","17","17","51","33","57","31","10","0","3","0",
"1500000US060014062011","Block Group 1, Census Tract 4062.01, Alameda County, California","235","74","10","43","0","32","7","0","0","0","6","6","57","0","0","0","0",
"1500000US060014062012","Block Group 2, Census Tract 4062.01, Alameda County, California","340","62","4","18","13","32","8","21","51","28","46","30","0","27","0","0","0",
"1500000US060014062013","Block Group 3, Census Tract 4062.01, Alameda County, California","538","65","24","93","121","34","8","18","14","52","32","9","42","20","0","6","0",
"1500000US060014062014","Block Group 4, Census Tract 4062.01, Alameda County, California","289","46","30","0","39","8","33","17","15","30","12","9","0","50","0","0","0",
"1500000US060014062021","Block Group 1, Census Tract 4062.02, Alameda County, California","833","140","36","36","72","74","81","34","37","55","87","38","68","20","0","33","22",
"1500000US060014062022","Block Group 2, Census Tract 4062.02, Alameda County, California","412","63","7","37","40","46","16","59","22","16","57","21","10","18","0","0","0",
"1500000US060014063001","Block Group 1, Census Tract 4063, Alameda County, California","430","82","23","66","38","37","16","34","8","13","42","33","38","0","0","0","0",
"1500000US060014063002","Block Group 2, Census Tract 4063, Alameda County, California","296","46","17","49","40","11","20","41","30","7","11","11","13","0","0","0","0",
"1500000US060014063003","Block Group 3, Census Tract 4063, Alameda County, California","195","51","20","0","0","11","17","6","27","5","0","7","23","15","5","8","0",
"1500000US060014063004","Block Group 4, Census Tract 4063, Alameda County, California","278","29","12","10","22","39","5","20","13","7","43","29","42","7","0","0","0",
"1500000US060014064001","Block Group 1, Census Tract 4064, Alameda County, California","197","5","7","6","5","6","10","10","4","13","31","15","31","45","5","0","4",
"1500000US060014064002","Block Group 2, Census Tract 4064, Alameda County, California","458","52","26","47","37","33","23","12","29","13","52","72","42","10","3","7","0",
"1500000US060014065001","Block Group 1, Census Tract 4065, Alameda County, California","197","29","15","8","6","17","7","16","15","0","21","21","34","0","0","3","5",
"1500000US060014065002","Block Group 2, Census Tract 4065, Alameda County, California","542","70","33","15","35","31","47","56","37","49","35","41","73","0","13","7","0",
"1500000US060014065003","Block Group 3, Census Tract 4065, Alameda County, California","398","59","27","46","46","34","31","7","14","13","54","22","17","28","0","0","0",
