bgp2000gj,bg2010gj,bg2010ge,wt_pop,wt_fam,wt_hh,wt_hu
G06000109020006000421700U3,G06000104217003,060014217003,1.0,1.0,1.0,1.0
G06000109020006000421800U1,G06000104218001,060014218001,1.0,1.0,1.0,1.0
G06000109020006000421800U2,G06000104218002,060014218002,1.0,1.0,1.0,1.0
G06000109020006000421900U1,G06000104219001,060014219001,1.0,1.0,1.0,1.0
G06000109020006000421900U2,G06000104219002,060014219002,1.0,1.0,1.0,1.0
G06000109020006000421900U3,G06000104219003,060014219003,1.0,1.0,1.0,1.0
G06000109020006000421900U4,G06000104219004,060014219004,1.0,1.0,1.0,1.0
G06000109020006000422000R3,G06000104220001,060014220001,0.0,0.0,0.0,0.0
G06000109020006000422000R3,G06000109900000,060019900000,0.0,0.0,0.0,0.0
G06000109020006000422000U1,G06000104220002,060014220002,1.0,1.0,1.0,1.0
G06000109020006000422000U2,G06000104220001,060014220001,1.0,1.0,1.0,1.0
G06000109020006000422000U3,G06000104220001,060014220001,1.0,1.0,1.0,1.0
G06000109020006000422100U1,G06000104221001,060014221001,1.0,1.0,1.0,1.0
G06000109020006000422100U2,G06000104221002,060014221002,1.0,1.0,1.0,1.0
G06000109020006000422200U1,G06000104222001,060014222001,1.0,1.0,1.0,1.0
G06000109020006000422200U2,G06000104222002,060014222002,1.0,1.0,1.0,1.0
G06000109020006000422200U3,G06000104222003,060014222003,1.0,1.0,1.0,1.0
G06000109020006000422300U1,G06000104223001,060014223001,1.0,1.0,1.0,1.0
G06000109020006000422300U2,G06000104223002,060014223002,1.0,1.0,1.0,1.0
G06000109020006000422300U3,G06000104223003,060014223003,1.0,1.0,1.0,1.0
G06000109020006000422400U1,G06000104224001,060014224001,1.0,1.0,1.0,1.0
G06000109020006000422400U2,G06000104224002,060014224002,1.0,1.0,1.0,1.0
G06000109020006000422400U3,G06000104224003,060014224003,1.0,1.0,1.0,1.0
G06000109020006000422500U1,G06000104225001,060014225001,1.0,1.0,1.0,1.0
G06000109020006000422500U2,G06000104225002,060014225002,1.0,1.0,1.0,1.0
G06000109020006000422500U3,G06000104225003,060014225003,1.0,1.0,1.0,1.0
G06000109020006000422600U1,G06000104226001,060014226001,1.0,1.0,1.0,1.0
G06000109020006000422700U1,G06000104227001,060014227001,1.0,1.0,1.0,1.0
G06000109020006000422700U2,G06000104227002,060014227002,1.0,1.0,1.0,1.0
G06000109020006000422700U3,G06000104227003,060014227003,1.0,1.0,1.0,1.0
G06000109020006000422800U1,G06000104228001,060014228001,1.0,1.0,1.0,1.0
G06000109020006000422800U2,G06000104228001,060014228001,0.389547932,0.347826087,0.4835164835,0.4852546917
G06000109020006000422800U2,G06000104228002,060014228002,0.610452068,0.652173913,0.5164835165,0.5147453083
G06000109020006000422800U3,G06000104228003,060014228003,1.0,1.0,1.0,1.0
G06000109020006000422900U1,G06000104229002,060014229002,1.0,1.0,1.0,1.0
G06000109020006000422900U2,G06000104229001,060014229001,0.7259565667,0.6374269006,0.7488947834,0.7478632479
G06000109020006000422900U2,G06000104229002,060014229002,0.2740434333,0.3625730994,0.2511052166,0.2521367521
G06000109020006000423000U1,G06000104230001,060014230001,1.0,1.0,1.0,1.0
G06000109020006000423000U2,G06000104230002,060014230002,1.0,1.0,1.0,1.0
G06000109020006000423000U3,G06000104230003,060014230003,1.0,1.0,1.0,1.0
G06000109020006000423100U1,G06000104231001,060014231001,1.0,1.0,1.0,1.0
G06000109020006000423100U2,G06000104231002,060014231002,1.0,1.0,1.0,1.0
G06000109020006000423100U3,G06000104231003,060014231003,1.0,1.0,1.0,1.0
G06000109020006000423100U4,G06000104231004,060014231004,1.0,1.0,1.0,1.0
G06000109020006000423200U1,G06000104232001,060014232001,1.0,1.0,1.0,1.0
G06000109020006000423200U2,G06000104232002,060014232002,1.0,1.0,1.0,1.0
G06000109020006000423300U1,G06000104233001,060014233001,1.0,1.0,1.0,1.0
G06000109020006000423300U2,G06000104233002,060014233002,1.0,1.0,1.0,1.0
G06000109020006000423300U3,G06000104233003,060014233003,1.0,1.0,1.0,1.0
G06000109020006000423400U1,G06000104234001,060014234001,1.0,1.0,1.0,1.0
G06000109020006000423400U2,G06000104234002,060014234002,1.0,1.0,1.0,1.0
