bg2010gj,bg2010ge,bg2020gj,bg2020ge,wt_pop,wt_adult,wt_hh,wt_fam,wt_hu,parea
G06008300029221,060830029221,G06008300029241,060830029241,0,0,0,0,0,0.003992489585
G06008300029221,060830029221,G06008300029242,060830029242,0,0,0,0,0,0.004316711249
G06008300029222,060830029222,G06008300029332,060830029332,0.996309175892,0.996309175892,0.996309175892,0.996309175892,0.996309175892,0.95643073666
G06008300029222,060830029222,G06008300029333,060830029333,0.003690824108,0.003690824108,0.003690824108,0.003690824108,0.003690824108,0.04356926334
G06008300029223,060830029223,G06008309803001,060839803001,1,1,1,1,1,1
G06008300029224,060830029224,G06008300029331,060830029331,0.381766381766,0.398009950249,0.441422594142,0.410029498525,0.459724950884,0.631878756865
G06008300029224,060830029224,G06008300029333,060830029333,0.615526566541,0.599501704778,0.556272318487,0.587304573309,0.538037382791,0.367552954016
G06008300029224,060830029224,G06008300029334,060830029334,0.002707051692,0.002488344973,0.002305087371,0.002665928166,0.002237666325,5.68289119e-4
G06008300029225,060830029225,G06008300029333,060830029333,0,0,0,0,0,0.010654829827
G06008300029225,060830029225,G06008300029334,060830029334,1,1,1,1,1,0.989345170173
G06008300029241,060830029241,G06008300029241,060830029241,1,1,1,1,1,1
G06008300029242,060830029242,G06008300029242,060830029242,1,1,1,1,1,1
G06008300029243,060830029243,G06008300029243,060830029243,1,1,1,1,1,1
G06008300029244,060830029244,G06008300029244,060830029244,1,1,1,1,1,1
G06008300029261,060830029261,G06008300029261,060830029261,1,1,1,1,1,1
G06008300029262,060830029262,G06008300029262,060830029262,1,1,1,1,1,1
G06008300029263,060830029263,G06008300029263,060830029263,1,1,1,1,1,1
G06008300029281,060830029281,G06008300029332,060830029332,0,0,0,0,0,0.003328592372
G06008300029281,060830029281,G06008300029361,060830029361,0.835773763486,0.849533101688,0.772340815057,0.605242409604,0.759724518461,0.403739961926
G06008300029281,060830029281,G06008300029371,060830029371,0.070703674651,0.066471438607,0.068604066833,0.182636378275,0.071582472421,0.563997286711
G06008300029281,060830029281,G06008300029362,060830029362,0.093522561863,0.083995459705,0.15905511811,0.212121212121,0.168693009119,0.02893415899
G06008300029282,060830029282,G06008300029362,060830029362,1,1,1,1,1,0.983505240393
G06008300029282,060830029282,G06008300029332,060830029332,0,0,0,0,0,0.016494759607
G06008300029301,060830029301,G06008300029341,060830029341,0.449016100179,0.449197860963,0.468509984639,0.462809917355,0.476052249637,0.819399588917
G06008300029301,060830029301,G06008300029342,060830029342,0.550983899821,0.550802139037,0.531490015361,0.537190082645,0.523947750363,0.180600411083
G06008300029302,060830029302,G06008300029342,060830029342,0.935381826142,0.933635067004,0.92896451916,0.925951741673,0.924581307933,0.182444566938
G06008300029302,060830029302,G06008300029341,060830029341,0.064618173858,0.066364932996,0.07103548084,0.074048258327,0.075418692067,0.817555433062
G06008300029303,060830029303,G06008300029352,060830029352,1,1,1,1,1,1
G06008300029304,060830029304,G06008300029351,060830029351,1,1,1,1,1,1
G06008300029305,060830029305,G06008300029372,060830029372,1,1,1,1,1,1
G06008300029306,060830029306,G06008300029351,060830029351,1,1,1,1,1,1
G06008300029321,060830029321,G06008300029321,060830029321,1,1,1,1,1,0.9975497663
G06008300029321,060830029321,G06008300031021,060830031021,0,0,0,0,0,0.0024502337
G06008300029322,060830029322,G06008300029322,060830029322,1,1,1,1,1,1
G06008300030011,060830030011,G06008300030011,060830030011,1,1,1,1,1,1
G06008300030012,060830030012,G06008300030012,060830030012,0.999946556198,0.999940157996,0.999940397844,0.999849790525,0.99994345727,0.999571817232
G06008300030012,060830030012,G06008300030043,060830030043,5.3443802e-5,5.9842004e-5,5.9602156e-5,1.50209475e-4,5.654273e-5,4.28182768e-4
G06008300030013,060830030013,G06008300030013,060830030013,1,1,1,1,1,1
G06008300030014,060830030014,G06008300030014,060830030014,1,1,1,1,1,1
G06008300030015,060830030015,G06008300030015,060830030015,1,1,1,1,1,1
G06008300030041,060830030041,G06008300030041,060830030041,1,1,1,1,1,1
G06008300030042,060830030042,G06008300030042,060830030042,1,1,1,1,1,1
G06008300030043,060830030043,G06008300030043,060830030043,1,1,1,1,1,1
G06008300030051,060830030051,G06008300030051,060830030051,1,1,1,1,1,1
G06008300030052,060830030052,G06008300030052,060830030052,1,1,1,1,1,1
G06008300030053,060830030053,G06008300030052,060830030052,0.002757355878,0.002759481766,0.00281412497,0.002618961941,0.002766749129,0.027031626065
G06008300030053,060830030053,G06008300030053,060830030053,0.997242644122,0.997240518234,0.99718587503,0.997381038059,0.997233250871,0.972968373935
G06008300030071,060830030071,G06008300030071,060830030071,0.924369747899,0.923236514523,0.922246220302,0.918309859155,0.929657794677,0.991955654681
G06008300030071,060830030071,G06008300030072,060830030072,0.075630252101,0.076763485477,0.077753779698,0.081690140845,0.070342205323,0.008044345319
G06008300030072,060830030072,G06008300030072,060830030072,1,1,1,1,1,1
G06008300030073,060830030073,G06008300030073,060830030073,0.977888730385,0.978577549272,0.979462875197,0.976744186047,0.978753541076,0.98487717609
G06008300030073,060830030073,G06008300030072,060830030072,0.022111269615,0.021422450728,0.020537124803,0.023255813953,0.021246458924,0.01512282391
G06008300031021,060830031021,G06008300031021,060830031021,1,1,1,1,0.99756097561,0.999704043018
G06008300031021,060830031021,G06008309802001,060839802001,0,0,0,0,0.00243902439,2.55476586e-4
G06008300031021,060830031021,G06008309804001,060839804001,0,0,0,0,0,4.0480396e-5
G06008300031022,060830031022,G06008300031022,060830031022,1,1,1,1,1,1
G06008300031023,060830031023,G06008300031023,060830031023,1,1,1,1,1,1
G06008309800001,060839800001,G06008309800001,060839800001,1,1,1,1,1,0.998033253577
G06008309800001,060839800001,G06008309803001,060839803001,0,0,0,0,0,0.001966746423
G06008309801001,060839801001,G06008309801001,060839801001,1,1,1,1,1,1
G06008309900000,060839900000,G06008309900000,060839900000,0.999961560935,0.999961560935,0.999961560935,0.999961560935,0.999961560935,0.999961560935
G06008309900000,060839900000,G06008300029341,060830029341,2.09509e-7,2.09509e-7,2.09509e-7,2.09509e-7,2.09509e-7,2.09509e-7
G06008309900000,060839900000,G06008300029371,060830029371,3.8229556e-5,3.8229556e-5,3.8229556e-5,3.8229556e-5,3.8229556e-5,3.8229556e-5
G06008505001001,060855001001,G06008505001001,060855001001,1,1,1,1,1,1
G06008505001002,060855001002,G06008505001002,060855001002,1,1,1,1,1,1
G06008505001003,060855001003,G06008505001003,060855001003,1,1,1,1,1,1
G06008505001004,060855001004,G06008505001004,060855001004,1,1,1,1,1,1
G06008505002001,060855002001,G06008505002001,060855002001,1,1,1,1,1,1
G06008505002002,060855002002,G06008505002002,060855002002,1,1,1,1,1,1
