"GEO_ID","NAME","B19013_001E","B19013_001M","B19013_001MA","B19013_001EA",
"1400000US06001435102","Census Tract 4351.02, Alameda County, California","107625","22471","null","null",
"1400000US06001435103","Census Tract 4351.03, Alameda County, California","136000","15248","null","null",
"1400000US06001435104","Census Tract 4351.04, Alameda County, California","55975","10475","null","null",
"1400000US06001435200","Census Tract 4352, Alameda County, California","81659","8227","null","null",
"1400000US06001435300","Census Tract 4353, Alameda County, California","52444","15692","null","null",
"1400000US06001435400","Census Tract 4354, Alameda County, California","48873","6331","null","null",
"1400000US06001435500","Census Tract 4355, Alameda County, California","45241","5062","null","null",
"1400000US06001435601","Census Tract 4356.01, Alameda County, California","47630","6195","null","null",
"1400000US06001435602","Census Tract 4356.02, Alameda County, California","62609","9506","null","null",
"1400000US06001435700","Census Tract 4357, Alameda County, California","72688","7560","null","null",
"1400000US06001435800","Census Tract 4358, Alameda County, California","75309","8921","null","null",
"1400000US06001435900","Census Tract 4359, Alameda County, California","68882","8840","null","null",
"1400000US06001436000","Census Tract 4360, Alameda County, California","74228","13452","null","null",
"1400000US06001436100","Census Tract 4361, Alameda County, California","63438","14105","null","null",
"1400000US06001436200","Census Tract 4362, Alameda County, California","41417","6405","null","null",
"1400000US06001436300","Census Tract 4363, Alameda County, California","53776","3551","null","null",
"1400000US06001436401","Census Tract 4364.01, Alameda County, California","70655","9806","null","null",
"1400000US06001436402","Census Tract 4364.02, Alameda County, California","122778","17176","null","null",
"1400000US06001436500","Census Tract 4365, Alameda County, California","51523","7209","null","null",
"1400000US06001436601","Census Tract 4366.01, Alameda County, California","49105","4521","null","null",
"1400000US06001436602","Census Tract 4366.02, Alameda County, California","52854","6836","null","null",
"1400000US06001436700","Census Tract 4367, Alameda County, California","60542","14400","null","null",
"1400000US06001436800","Census Tract 4368, Alameda County, California","71586","10027","null","null",
"1400000US06001436900","Census Tract 4369, Alameda County, California","51549","7945","null","null",
"1400000US06001437000","Census Tract 4370, Alameda County, California","68092","11674","null","null",
