"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"1400000US06001427600","Census Tract 4276, Alameda County, California","41618","null","9089","null",
"1400000US06001427700","Census Tract 4277, Alameda County, California","78497","null","10033","null",
"1400000US06001427800","Census Tract 4278, Alameda County, California","96222","null","15711","null",
"1400000US06001427900","Census Tract 4279, Alameda County, California","78729","null","7620","null",
"1400000US06001428000","Census Tract 4280, Alameda County, California","66621","null","5236","null",
"1400000US06001428100","Census Tract 4281, Alameda County, California","83565","null","10285","null",
"1400000US06001428200","Census Tract 4282, Alameda County, California","88811","null","17333","null",
"1400000US06001428301","Census Tract 4283.01, Alameda County, California","101633","null","11815","null",
"1400000US06001428302","Census Tract 4283.02, Alameda County, California","128438","null","22146","null",
"1400000US06001428400","Census Tract 4284, Alameda County, California","68301","null","5398","null",
"1400000US06001428500","Census Tract 4285, Alameda County, California","66250","null","12342","null",
"1400000US06001428600","Census Tract 4286, Alameda County, California","71953","null","8422","null",
"1400000US06001428700","Census Tract 4287, Alameda County, California","50577","null","10588","null",
"1400000US06001430101","Census Tract 4301.01, Alameda County, California","129203","null","13911","null",
"1400000US06001430102","Census Tract 4301.02, Alameda County, California","106250","null","28351","null",
"1400000US06001430200","Census Tract 4302, Alameda County, California","109890","null","9325","null",
"1400000US06001430300","Census Tract 4303, Alameda County, California","99277","null","9876","null",
"1400000US06001430400","Census Tract 4304, Alameda County, California","107143","null","21893","null",
"1400000US06001430500","Census Tract 4305, Alameda County, California","54824","null","8216","null",
"1400000US06001430600","Census Tract 4306, Alameda County, California","97583","null","19422","null",
"1400000US06001430700","Census Tract 4307, Alameda County, California","99831","null","13485","null",
"1400000US06001430800","Census Tract 4308, Alameda County, California","80625","null","22571","null",
"1400000US06001430900","Census Tract 4309, Alameda County, California","57908","null","6668","null",
"1400000US06001431000","Census Tract 4310, Alameda County, California","61724","null","10241","null",
"1400000US06001431100","Census Tract 4311, Alameda County, California","54440","null","5403","null",
"1400000US06001431200","Census Tract 4312, Alameda County, California","54764","null","14075","null",
"1400000US06001432100","Census Tract 4321, Alameda County, California","94583","null","14259","null",
"1400000US06001432200","Census Tract 4322, Alameda County, California","61094","null","5074","null",
"1400000US06001432300","Census Tract 4323, Alameda County, California","72299","null","7129","null",
"1400000US06001432400","Census Tract 4324, Alameda County, California","52255","null","12109","null",
"1400000US06001432501","Census Tract 4325.01, Alameda County, California","60530","null","9474","null",
"1400000US06001432502","Census Tract 4325.02, Alameda County, California","58110","null","10177","null",
"1400000US06001432600","Census Tract 4326, Alameda County, California","57340","null","6629","null",
"1400000US06001432700","Census Tract 4327, Alameda County, California","81932","null","11839","null",
"1400000US06001432800","Census Tract 4328, Alameda County, California","88125","null","6486","null",
"1400000US06001433000","Census Tract 4330, Alameda County, California","71917","null","13161","null",
"1400000US06001433102","Census Tract 4331.02, Alameda County, California","68952","null","5713","null",
"1400000US06001433103","Census Tract 4331.03, Alameda County, California","51808","null","9915","null",
"1400000US06001433104","Census Tract 4331.04, Alameda County, California","48096","null","6726","null",
"1400000US06001433200","Census Tract 4332, Alameda County, California","52460","null","11137","null",
"1400000US06001433300","Census Tract 4333, Alameda County, California","64315","null","12738","null",
"1400000US06001433400","Census Tract 4334, Alameda County, California","73051","null","11329","null",
