"GEO_ID","NAME","B19013_001M","B19013_001MA","B19013_001E","B19013_001EA",
"1400000US06001441921","Census Tract 4419.21, Alameda County, California","15926","null","90133","null",
"1400000US06001441923","Census Tract 4419.23, Alameda County, California","12832","null","70721","null",
"1400000US06001441924","Census Tract 4419.24, Alameda County, California","10003","null","100768","null",
"1400000US06001441925","Census Tract 4419.25, Alameda County, California","8581","null","100996","null",
"1400000US06001441926","Census Tract 4419.26, Alameda County, California","17469","null","59831","null",
"1400000US06001441927","Census Tract 4419.27, Alameda County, California","5994","null","69071","null",
"1400000US06001442000","Census Tract 4420, Alameda County, California","15224","null","157212","null",
"1400000US06001442100","Census Tract 4421, Alameda County, California","20115","null","144181","null",
"1400000US06001442200","Census Tract 4422, Alameda County, California","11557","null","120156","null",
"1400000US06001442301","Census Tract 4423.01, Alameda County, California","16092","null","70857","null",
"1400000US06001442302","Census Tract 4423.02, Alameda County, California","11374","null","57129","null",
"1400000US06001442400","Census Tract 4424, Alameda County, California","14256","null","90469","null",
"1400000US06001442500","Census Tract 4425, Alameda County, California","12401","null","80288","null",
"1400000US06001442601","Census Tract 4426.01, Alameda County, California","20358","null","83947","null",
"1400000US06001442602","Census Tract 4426.02, Alameda County, California","35221","null","86844","null",
"1400000US06001442700","Census Tract 4427, Alameda County, California","32702","null","92039","null",
"1400000US06001442800","Census Tract 4428, Alameda County, California","19986","null","77564","null",
"1400000US06001442900","Census Tract 4429, Alameda County, California","18608","null","79423","null",
"1400000US06001443001","Census Tract 4430.01, Alameda County, California","16857","null","95781","null",
"1400000US06001443002","Census Tract 4430.02, Alameda County, California","4849","null","93255","null",
"1400000US06001443102","Census Tract 4431.02, Alameda County, California","11353","null","134233","null",
"1400000US06001443103","Census Tract 4431.03, Alameda County, California","10881","null","200595","null",
"1400000US06001443104","Census Tract 4431.04, Alameda County, California","28987","null","121285","null",
"1400000US06001443105","Census Tract 4431.05, Alameda County, California","17142","null","146102","null",
"1400000US06001443200","Census Tract 4432, Alameda County, California","28588","null","199946","null",
"1400000US06001443301","Census Tract 4433.01, Alameda County, California","25141","null","137672","null",
"1400000US06001443321","Census Tract 4433.21, Alameda County, California","17727","null","68458","null",
"1400000US06001443322","Census Tract 4433.22, Alameda County, California","11240","null","122389","null",
"1400000US06001444100","Census Tract 4441, Alameda County, California","9584","null","88750","null",
"1400000US06001444200","Census Tract 4442, Alameda County, California","9296","null","80224","null",
"1400000US06001444301","Census Tract 4443.01, Alameda County, California","16762","null","86042","null",
"1400000US06001444302","Census Tract 4443.02, Alameda County, California","11674","null","72956","null",
"1400000US06001444400","Census Tract 4444, Alameda County, California","9944","null","74792","null",
"1400000US06001444500","Census Tract 4445, Alameda County, California","8332","null","70290","null",
"1400000US06001444601","Census Tract 4446.01, Alameda County, California","11515","null","82500","null",
"1400000US06001444602","Census Tract 4446.02, Alameda County, California","13456","null","111473","null",
"1400000US06001450101","Census Tract 4501.01, Alameda County, California","6954","null","104722","null",
"1400000US06001450102","Census Tract 4501.02, Alameda County, California","27195","null","138589","null",
"1400000US06001450200","Census Tract 4502, Alameda County, California","7130","null","86364","null",
"1400000US06001450300","Census Tract 4503, Alameda County, California","9821","null","97143","null",
"1400000US06001450400","Census Tract 4504, Alameda County, California","7810","null","98364","null",
"1400000US06001450501","Census Tract 4505.01, Alameda County, California","11982","null","109325","null",
"1400000US06001450502","Census Tract 4505.02, Alameda County, California","11029","null","132066","null",
"1400000US06001450601","Census Tract 4506.01, Alameda County, California","27173","null","135433","null",
"1400000US06001450602","Census Tract 4506.02, Alameda County, California","7743","null","127823","null",
"1400000US06001450603","Census Tract 4506.03, Alameda County, California","11743","null","123125","null",
"1400000US06001450604","Census Tract 4506.04, Alameda County, California","13969","null","124250","null",
"1400000US06001450605","Census Tract 4506.05, Alameda County, California","10566","null","105217","null",
"1400000US06001450606","Census Tract 4506.06, Alameda County, California","14957","null","147885","null",
"1400000US06001450607","Census Tract 4506.07, Alameda County, California","9891","null","75962","null",
"1400000US06001450701","Census Tract 4507.01, Alameda County, California","16290","null","168333","null",
"1400000US06001450741","Census Tract 4507.41, Alameda County, California","23511","null","99635","null",
"1400000US06001450742","Census Tract 4507.42, Alameda County, California","9680","null","97796","null",
"1400000US06001450743","Census Tract 4507.43, Alameda County, California","11696","null","90457","null",
"1400000US06001450744","Census Tract 4507.44, Alameda County, California","15664","null","110288","null",
"1400000US06001450745","Census Tract 4507.45, Alameda County, California","15438","null","128235","null",
"1400000US06001450746","Census Tract 4507.46, Alameda County, California","7720","null","112696","null",
"1400000US06001450750","Census Tract 4507.50, Alameda County, California","5682","null","88636","null",
"1400000US06001450751","Census Tract 4507.51, Alameda County, California","32566","null","165804","null",
"1400000US06001450752","Census Tract 4507.52, Alameda County, California","23263","null","137929","null",
"1400000US06001451101","Census Tract 4511.01, Alameda County, California","24594","null","122470","null",
"1400000US06001451102","Census Tract 4511.02, Alameda County, California","20754","null","169286","null",
