"GEO_ID","NAME","B25063_001E","B25063_001EA","B25063_001M","B25063_001MA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006EA","B25063_006M","B25063_006MA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010M","B25063_010MA","B25063_010EA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012EA","B25063_012M","B25063_012MA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021M","B25063_021MA","B25063_021EA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023EA","B25063_023M","B25063_023MA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"0500000US06097","Sonoma County, California","70867","null","1367","null","67342","null","1389","null","83","60","null","null","236","135","null","null","444","172","null","null","544","null","142","null","785","null","192","null","558","null","193","null","355","135","null","null","431","135","null","null","604","null","177","null","790","null","204","null","770","null","203","null","564","186","null","null","828","229","null","null","1388","null","294","null","1259","null","283","null","4483","null","506","null","6041","null","589","null","15133","873","null","null","10934","748","null","null","13642","null","864","null","7470","null","667","null","3525","null","440","null",
"0500000US06099","Stanislaus County, California","64707","null","1560","null","61741","null","1502","null","84","44","null","null","150","90","null","null","142","86","null","null","733","null","190","null","616","null","156","null","948","null","219","null","568","170","null","null","788","209","null","null","739","null","222","null","981","null","220","null","1461","null","266","null","2566","350","null","null","2400","361","null","null","2858","null","388","null","3530","null","463","null","7169","null","620","null","8299","null","660","null","12669","939","null","null","7505","564","null","null","6036","null","585","null","1499","null","251","null","2966","null","321","null",
"0500000US06101","Sutter County, California","12379","null","480","null","11602","null","495","null","28","44","null","null","24","27","null","null","27","30","null","null","104","null","71","null","209","null","110","null","173","null","84","null","145","75","null","null","219","121","null","null","221","null","96","null","374","null","154","null","610","null","192","null","565","163","null","null","641","156","null","null","896","null","221","null","803","null","171","null","1132","null","220","null","1081","null","228","null","1809","324","null","null","1351","270","null","null","1060","null","239","null","130","null","64","null","777","null","193","null",
"0500000US06103","Tehama County, California","8474","null","559","null","7747","null","538","null","18","29","null","null","27","30","null","null","64","70","null","null","55","null","42","null","165","null","81","null","259","null","96","null","191","108","null","null","285","125","null","null","220","null","95","null","205","null","82","null","401","null","151","null","401","150","null","null","463","142","null","null","604","null","172","null","404","null","126","null","841","null","231","null","799","null","210","null","1452","321","null","null","512","170","null","null","313","null","146","null","68","null","44","null","727","null","208","null",
"0500000US06105","Trinity County, California","1583","null","240","null","1401","null","241","null","12","18","null","null","19","27","null","null","10","13","null","null","44","null","51","null","14","null","14","null","16","null","16","null","116","97","null","null","37","35","null","null","13","null","16","null","65","null","50","null","84","null","58","null","52","47","null","null","118","53","null","null","114","null","69","null","60","null","49","null","208","null","111","null","105","null","60","null","161","94","null","null","74","67","null","null","61","null","65","null","18","null","16","null","182","null","77","null",
"0500000US06107","Tulare County, California","52684","null","1291","null","49624","null","1238","null","80","64","null","null","93","59","null","null","201","80","null","null","437","null","142","null","915","null","196","null","590","null","160","null","1499","219","null","null","1550","274","null","null","2229","null","323","null","2864","null","375","null","3012","null","407","null","3270","398","null","null","3477","419","null","null","2917","null","373","null","2702","null","422","null","5202","null","473","null","4807","null","544","null","6893","631","null","null","3975","468","null","null","2350","null","391","null","561","null","156","null","3060","null","316","null",
"0500000US06109","Tuolumne County, California","6478","null","542","null","6064","null","541","null","21","26","null","null","81","78","null","null","25","28","null","null","87","null","49","null","162","null","90","null","71","null","48","null","113","90","null","null","299","111","null","null","143","null","78","null","203","null","108","null","154","null","78","null","305","160","null","null","323","166","null","null","219","null","116","null","265","null","184","null","521","null","170","null","805","null","241","null","1073","240","null","null","603","198","null","null","473","null","153","null","118","null","95","null","414","null","169","null",
"0500000US06111","Ventura County, California","90672","null","1556","null","87527","null","1540","null","210","112","null","null","286","146","null","null","452","150","null","null","993","null","226","null","1131","null","218","null","757","null","200","null","746","202","null","null","650","168","null","null","758","null","225","null","681","null","177","null","610","null","158","null","1220","272","null","null","1502","270","null","null","1094","null","268","null","1208","null","266","null","3457","null","468","null","4049","null","508","null","13673","762","null","null","14409","780","null","null","22023","null","932","null","17618","null","962","null","3145","null","383","null",
"0500000US06113","Yolo County, California","32117","null","974","null","30914","null","953","null","17","26","null","null","14","18","null","null","68","40","null","null","342","null","120","null","432","null","146","null","333","null","153","null","422","167","null","null","321","123","null","null","344","null","118","null","607","null","213","null","508","null","146","null","752","195","null","null","1164","325","null","null","1044","null","249","null","1188","null","263","null","3003","null","443","null","2677","null","358","null","6423","539","null","null","4164","497","null","null","4656","null","531","null","2435","null","342","null","1203","null","228","null",
"0500000US06115","Yuba County, California","9719","null","539","null","8899","null","530","null","58","65","null","null","56","51","null","null","0","95","null","null","103","null","59","null","212","null","117","null","148","null","82","null","99","74","null","null","111","55","null","null","193","null","88","null","318","null","146","null","575","null","152","null","433","148","null","null","770","189","null","null","569","null","184","null","547","null","187","null","890","null","209","null","774","null","194","null","1214","256","null","null","903","253","null","null","781","null","204","null","145","null","83","null","820","null","174","null",
