"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009M","B03002_009MA","B03002_009EA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015M","B03002_015MA","B03002_015EA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"0500000US06091","Sierra County, California","3277","null","175","null","3030","null","163","null","2968","null","166","null","38","36","null","null","11","null","16","null","3","null","6","null","0","null","95","null","1","null","2","null","9","13","null","null","0","95","null","null","9","null","13","null","247","null","61","null","63","null","42","null","0","95","null","null","0","95","null","null","0","null","95","null","0","null","95","null","178","null","84","null","6","null","14","null","6","14","null","null","0","95","null","null",
"0500000US06093","Siskiyou County, California","44687","null","*****","*****","40143","null","*****","*****","35688","null","55","null","516","78","null","null","1250","null","189","null","588","null","77","null","106","null","22","null","34","null","55","null","1961","230","null","null","7","7","null","null","1954","null","228","null","4544","null","*****","*****","3231","null","274","null","3","4","null","null","37","26","null","null","0","null","95","null","36","null","63","null","482","null","161","null","755","null","232","null","186","74","null","null","569","224","null","null",
"0500000US06095","Solano County, California","411620","null","*****","*****","314352","null","*****","*****","169645","null","415","null","58884","958","null","null","1624","null","265","null","58213","null","1055","null","3316","null","218","null","2433","null","923","null","20237","1265","null","null","818","264","null","null","19419","null","1265","null","97268","null","*****","*****","44791","null","2278","null","1246","477","null","null","803","229","null","null","930","null","306","null","74","null","69","null","40631","null","2341","null","8793","null","1126","null","5670","915","null","null","3123","642","null","null",
"0500000US06097","Sonoma County, California","478551","null","*****","*****","362329","null","*****","*****","320066","null","199","null","6808","364","null","null","3851","null","441","null","18799","null","521","null","1358","null","198","null","785","null","240","null","10662","794","null","null","294","167","null","null","10368","null","770","null","116222","null","*****","*****","70408","null","2076","null","353","148","null","null","2111","527","null","null","450","null","293","null","155","null","117","null","37192","null","1912","null","5553","null","863","null","3041","695","null","null","2512","492","null","null",
"0500000US06099","Stanislaus County, California","512469","null","*****","*****","300658","null","*****","*****","242716","null","295","null","13329","527","null","null","2940","null","321","null","25837","null","783","null","3207","null","178","null","931","null","322","null","11698","1105","null","null","1119","408","null","null","10579","null","988","null","211811","null","*****","*****","148881","null","3589","null","1362","455","null","null","2330","688","null","null","881","null","294","null","377","null","264","null","48314","null","3283","null","9666","null","1213","null","5067","806","null","null","4599","838","null","null",
"0500000US06101","Sutter County, California","94192","null","*****","*****","67550","null","*****","*****","48205","null","153","null","1670","142","null","null","682","null","164","null","12935","null","486","null","281","null","39","null","202","null","144","null","3575","552","null","null","75","57","null","null","3500","null","549","null","26642","null","*****","*****","13746","null","1268","null","130","155","null","null","746","306","null","null","94","null","70","null","9","null","14","null","10065","null","1093","null","1852","null","490","null","911","314","null","null","941","342","null","null",
"0500000US06103","Tehama County, California","62985","null","*****","*****","49494","null","*****","*****","45591","null","49","null","418","116","null","null","1116","null","188","null","688","null","113","null","69","null","23","null","28","null","23","null","1584","248","null","null","61","47","null","null","1523","null","245","null","13491","null","*****","*****","8022","null","764","null","0","95","null","null","310","192","null","null","80","null","83","null","0","null","95","null","4131","null","707","null","948","null","230","null","703","198","null","null","245","127","null","null",
"0500000US06105","Trinity County, California","13711","null","*****","*****","12787","null","*****","*****","11446","null","37","null","53","31","null","null","220","null","94","null","152","null","18","null","40","null","43","null","31","null","37","null","845","107","null","null","0","95","null","null","845","null","107","null","924","null","*****","*****","755","null","92","null","0","95","null","null","17","25","null","null","6","null","10","null","0","null","95","null","99","null","89","null","47","null","37","null","3","6","null","null","44","37","null","null",
"0500000US06107","Tulare County, California","436234","null","*****","*****","175436","null","*****","*****","145490","null","281","null","5453","243","null","null","3010","null","396","null","14175","null","439","null","284","null","143","null","614","null","301","null","6410","694","null","null","442","195","null","null","5968","null","646","null","260798","null","*****","*****","197735","null","3203","null","1677","426","null","null","2625","724","null","null","976","null","368","null","5","null","19","null","50205","null","2886","null","7575","null","1275","null","4449","948","null","null","3126","821","null","null",
"0500000US06109","Tuolumne County, California","55736","null","*****","*****","49875","null","*****","*****","45448","null","516","null","1154","180","null","null","900","null","159","null","580","null","127","null","78","null","52","null","426","null","516","null","1289","269","null","null","53","56","null","null","1236","null","266","null","5861","null","*****","*****","3029","null","410","null","18","20","null","null","108","62","null","null","25","null","26","null","4","null","8","null","1850","null","363","null","827","null","278","null","562","219","null","null","265","151","null","null",
"0500000US06111","Ventura County, California","815745","null","*****","*****","492010","null","*****","*****","402322","null","408","null","12905","555","null","null","1700","null","262","null","54848","null","865","null","1319","null","252","null","1178","null","354","null","17738","1193","null","null","1159","354","null","null","16579","null","1070","null","323735","null","*****","*****","176002","null","4575","null","1530","368","null","null","7486","1521","null","null","1382","null","407","null","91","null","77","null","122714","null","4664","null","14530","null","1383","null","8540","931","null","null","5990","915","null","null",
"0500000US06113","Yolo County, California","198889","null","*****","*****","139549","null","*****","*****","99980","null","220","null","4674","321","null","null","1222","null","204","null","25199","null","711","null","1005","null","39","null","557","null","250","null","6912","845","null","null","317","156","null","null","6595","null","848","null","59340","null","*****","*****","32754","null","1971","null","332","163","null","null","1263","435","null","null","427","null","214","null","107","null","87","null","19953","null","1798","null","4504","null","595","null","2402","472","null","null","2102","398","null","null",
"0500000US06115","Yuba County, California","71817","null","*****","*****","54130","null","*****","*****","42295","null","248","null","1849","305","null","null","957","null","226","null","4979","null","350","null","221","null","98","null","376","null","285","null","3453","465","null","null","25","30","null","null","3428","null","469","null","17687","null","*****","*****","7795","null","871","null","30","47","null","null","446","202","null","null","51","null","49","null","4","null","7","null","7884","null","955","null","1477","null","460","null","860","378","null","null","617","295","null","null",
