"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009M","B03002_009MA","B03002_009EA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015M","B03002_015MA","B03002_015EA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"0500000US06077","San Joaquin County, California","708554","*****","*****","null","424386","null","*****","*****","243086","315","null","null","47598","1077","null","null","2295","363","null","null","102426","1204","null","null","3520","null","387","null","979","291","null","null","24482","1753","null","null","907","310","null","null","23575","1697","null","null","284168","*****","*****","null","160805","null","3397","null","2665","614","null","null","2357","406","null","null","2337","572","null","null","347","174","null","null","81866","null","3190","null","33791","2497","null","null","7891","1075","null","null","25900","2429","null","null",
"0500000US06079","San Luis Obispo County, California","276517","*****","*****","null","216336","null","*****","*****","192918","320","null","null","5324","387","null","null","1075","226","null","null","9851","440","null","null","284","null","161","null","284","293","null","null","6600","694","null","null","183","94","null","null","6417","693","null","null","60181","*****","*****","null","42140","null","1983","null","358","235","null","null","930","378","null","null","276","138","null","null","0","28","null","null","13733","null","1997","null","2744","609","null","null","1011","278","null","null","1733","492","null","null",
"0500000US06081","San Mateo County, California","748731","*****","*****","null","559342","null","*****","*****","305166","421","null","null","18471","486","null","null","875","190","null","null","195976","1144","null","null","10245","null","378","null","2659","689","null","null","25950","1428","null","null","1329","353","null","null","24621","1315","null","null","189389","*****","*****","null","106459","null","3137","null","968","366","null","null","1254","360","null","null","2873","631","null","null","271","141","null","null","68077","null","3053","null","9487","1104","null","null","4779","767","null","null","4708","723","null","null",
"0500000US06083","Santa Barbara County, California","435850","*****","*****","null","243546","null","*****","*****","201998","162","null","null","7421","367","null","null","1791","236","null","null","21535","575","null","null","630","null","97","null","398","144","null","null","9773","732","null","null","191","82","null","null","9582","744","null","null","192304","*****","*****","null","121768","null","2923","null","1306","426","null","null","2331","431","null","null","968","380","null","null","190","127","null","null","57430","null","2856","null","8311","977","null","null","4719","752","null","null","3592","540","null","null",
"0500000US06085","Santa Clara County, California","1868149","*****","*****","null","1371075","null","*****","*****","627328","483","null","null","44980","813","null","null","3507","368","null","null","626036","1741","null","null","6226","null","430","null","3477","630","null","null","59521","2024","null","null","3939","611","null","null","55582","1903","null","null","497074","*****","*****","null","275076","null","4498","null","3330","644","null","null","5454","765","null","null","4668","709","null","null","937","388","null","null","180242","null","4705","null","27367","1722","null","null","14274","1142","null","null","13093","1209","null","null",
"0500000US06087","Santa Cruz County, California","269278","*****","*****","null","180676","null","*****","*****","157042","311","null","null","2335","239","null","null","629","193","null","null","11370","446","null","null","300","null","116","null","429","188","null","null","8571","641","null","null","341","254","null","null","8230","558","null","null","88602","*****","*****","null","59849","null","2156","null","200","92","null","null","943","401","null","null","487","212","null","null","37","33","null","null","23780","null","2132","null","3306","536","null","null","1953","417","null","null","1353","342","null","null",
"0500000US06089","Shasta County, California","178942","*****","*****","null","162558","null","*****","*****","145248","184","null","null","1752","258","null","null","4011","469","null","null","4672","401","null","null","380","null","73","null","74","75","null","null","6421","788","null","null","216","167","null","null","6205","732","null","null","16384","*****","*****","null","10003","null","758","null","36","35","null","null","643","208","null","null","63","52","null","null","9","16","null","null","4009","null","722","null","1621","377","null","null","878","289","null","null","743","307","null","null",
"0500000US06091","Sierra County, California","3021","167","null","null","2753","null","146","null","2658","136","null","null","3","5","null","null","26","26","null","null","1","3","null","null","14","null","20","null","0","12","null","null","51","46","null","null","0","12","null","null","51","46","null","null","268","57","null","null","255","null","59","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","12","null","16","null","1","3","null","null","0","12","null","null","1","3","null","null",
"0500000US06093","Siskiyou County, California","43895","*****","*****","null","38851","null","*****","*****","34244","12","null","null","614","82","null","null","1196","147","null","null","689","76","null","null","132","null","19","null","20","31","null","null","1956","201","null","null","14","11","null","null","1942","199","null","null","5044","*****","*****","null","3483","null","238","null","7","10","null","null","130","69","null","null","3","4","null","null","112","104","null","null","637","null","156","null","672","188","null","null","181","101","null","null","491","162","null","null",
"0500000US06095","Solano County, California","425753","*****","*****","null","318161","null","*****","*****","169259","217","null","null","57650","1090","null","null","1275","212","null","null","62369","854","null","null","3414","null","293","null","1120","604","null","null","23074","1272","null","null","844","251","null","null","22230","1253","null","null","107592","*****","*****","null","59857","null","1952","null","1562","614","null","null","1188","339","null","null","1751","359","null","null","87","53","null","null","36005","null","2103","null","7142","959","null","null","3925","712","null","null","3217","578","null","null",
"0500000US06097","Sonoma County, California","495078","*****","*****","null","367304","null","*****","*****","320545","519","null","null","6762","421","null","null","2671","489","null","null","18839","692","null","null","1398","null","259","null","1682","572","null","null","15407","1006","null","null","329","155","null","null","15078","996","null","null","127774","*****","*****","null","61939","null","2807","null","969","311","null","null","3075","814","null","null","422","242","null","null","271","208","null","null","52431","null","2692","null","8667","977","null","null","4293","709","null","null","4374","695","null","null",
"0500000US06099","Stanislaus County, California","527367","*****","*****","null","297280","null","*****","*****","235880","442","null","null","12904","510","null","null","2593","384","null","null","27680","878","null","null","3704","null","261","null","928","452","null","null","13591","1097","null","null","820","365","null","null","12771","1112","null","null","230087","*****","*****","null","161200","null","3275","null","1431","506","null","null","1590","377","null","null","880","337","null","null","299","125","null","null","55284","null","2934","null","9403","1163","null","null","4960","835","null","null","4443","746","null","null",
"0500000US06101","Sutter County, California","95247","*****","*****","null","66986","null","*****","*****","46108","79","null","null","1841","194","null","null","663","196","null","null","13948","447","null","null","286","null","64","null","130","79","null","null","4010","511","null","null","344","204","null","null","3666","510","null","null","28261","*****","*****","null","20150","null","1060","null","208","194","null","null","370","205","null","null","96","68","null","null","2","7","null","null","5717","null","989","null","1718","448","null","null","524","163","null","null","1194","389","null","null",
"0500000US06103","Tehama County, California","63152","*****","*****","null","48339","null","*****","*****","44291","58","null","null","291","148","null","null","1112","213","null","null","802","161","null","null","126","null","120","null","9","14","null","null","1708","294","null","null","107","92","null","null","1601","272","null","null","14813","*****","*****","null","10300","null","846","null","30","43","null","null","734","442","null","null","7","10","null","null","0","28","null","null","2902","null","759","null","840","266","null","null","441","193","null","null","399","192","null","null",
"0500000US06105","Trinity County, California","13373","*****","*****","null","12418","null","*****","*****","11096","18","null","null","151","115","null","null","456","191","null","null","159","37","null","null","109","null","131","null","14","18","null","null","433","217","null","null","1","2","null","null","432","218","null","null","955","*****","*****","null","314","null","236","null","0","19","null","null","1","2","null","null","42","91","null","null","0","19","null","null","462","null","333","null","136","115","null","null","21","22","null","null","115","115","null","null",
"0500000US06107","Tulare County, California","454033","*****","*****","null","170500","null","*****","*****","139581","228","null","null","6021","254","null","null","3069","309","null","null","14542","683","null","null","551","null","120","null","288","222","null","null","6448","822","null","null","144","93","null","null","6304","830","null","null","283533","*****","*****","null","227586","null","3121","null","1825","583","null","null","3020","664","null","null","885","379","null","null","64","55","null","null","41054","null","2846","null","9099","1073","null","null","4650","817","null","null","4449","759","null","null",
"0500000US06109","Tuolumne County, California","54079","*****","*****","null","47940","null","*****","*****","43995","46","null","null","970","118","null","null","795","167","null","null","737","75","null","null","78","null","56","null","43","46","null","null","1322","204","null","null","11","12","null","null","1311","204","null","null","6139","*****","*****","null","3625","null","344","null","21","21","null","null","129","66","null","null","8","12","null","null","35","38","null","null","1625","null","316","null","696","209","null","null","356","152","null","null","340","157","null","null",
"0500000US06111","Ventura County, California","840833","*****","*****","null","491034","null","*****","*****","395199","283","null","null","13462","516","null","null","2268","365","null","null","58242","839","null","null","1212","null","189","null","748","263","null","null","19903","969","null","null","728","242","null","null","19175","974","null","null","349799","*****","*****","null","267555","null","3911","null","1601","387","null","null","4017","762","null","null","1266","323","null","null","250","208","null","null","59410","null","3349","null","15700","1438","null","null","7531","912","null","null","8169","970","null","null",
"0500000US06113","Yolo County, California","207320","*****","*****","null","142794","null","*****","*****","100100","235","null","null","4708","347","null","null","947","219","null","null","27987","405","null","null","938","null","139","null","394","185","null","null","7720","638","null","null","426","192","null","null","7294","630","null","null","64526","*****","*****","null","36909","null","2119","null","701","362","null","null","1008","383","null","null","337","120","null","null","83","91","null","null","21959","null","2059","null","3529","507","null","null","1996","406","null","null","1533","313","null","null",
"0500000US06115","Yuba County, California","73437","*****","*****","null","53826","null","*****","*****","41676","368","null","null","2377","257","null","null","740","160","null","null","5214","242","null","null","214","null","54","null","359","372","null","null","3246","386","null","null","8","11","null","null","3238","387","null","null","19611","*****","*****","null","9794","null","908","null","79","91","null","null","407","194","null","null","63","60","null","null","24","30","null","null","6999","null","938","null","2245","451","null","null","1305","352","null","null","940","320","null","null",
