"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"0500000US06059","Orange County, California","3164182","*****","*****","null","2083987","*****","*****","null","1296036","848","null","null","50412","null","1047","null","6348","null","668","null","629637","2411","null","null","8541","null","573","null","5881","888","null","null","87132","null","2939","null","4236","663","null","null","82896","null","2935","null","1080195","*****","*****","null","654866","null","7682","null","4320","661","null","null","8118","null","984","null","6035","null","656","null","901","null","285","null","364798","null","7751","null","41157","null","2316","null","21558","1799","null","null","19599","null","1475","null",
"0500000US06061","Placer County, California","380077","*****","*****","null","327579","*****","*****","null","278380","173","null","null","5868","null","404","null","1244","null","251","null","27196","629","null","null","576","null","156","null","403","150","null","null","13912","null","938","null","384","212","null","null","13528","null","932","null","52498","*****","*****","null","35256","null","1246","null","329","107","null","null","646","null","322","null","339","null","148","null","263","null","271","null","11517","null","1202","null","4148","null","653","null","1605","398","null","null","2543","null","532","null",
"0500000US06063","Plumas County, California","18699","*****","*****","null","17070","*****","*****","null","15571","204","null","null","194","null","161","null","387","null","187","null","200","57","null","null","41","null","59","null","126","204","null","null","551","null","149","null","0","19","null","null","551","null","149","null","1629","*****","*****","null","1083","null","167","null","0","19","null","null","41","null","38","null","0","null","19","null","0","null","19","null","338","null","140","null","167","null","114","null","64","79","null","null","103","null","81","null",
"0500000US06065","Riverside County, California","2383286","*****","*****","null","1228769","*****","*****","null","856468","823","null","null","144503","null","1607","null","10064","null","726","null","147706","1724","null","null","5846","null","559","null","5345","861","null","null","58837","null","2544","null","2676","572","null","null","56161","null","2562","null","1154517","*****","*****","null","593666","null","9388","null","9042","1383","null","null","9217","null","1272","null","4424","null","772","null","997","null","361","null","489896","null","9953","null","47275","null","3028","null","26968","2001","null","null","20307","null","1843","null",
"0500000US06067","Sacramento County, California","1510023","*****","*****","null","1162998","*****","*****","null","682500","980","null","null","144003","null","2016","null","5469","null","596","null","231740","1893","null","null","16335","null","595","null","6086","1493","null","null","76865","null","2704","null","3086","719","null","null","73779","null","2591","null","347025","*****","*****","null","193293","null","4148","null","5061","807","null","null","4871","null","984","null","3734","null","675","null","380","null","158","null","108986","null","4244","null","30700","null","1728","null","14164","1282","null","null","16536","null","1306","null",
"0500000US06069","San Benito County, California","59416","*****","*****","null","24168","*****","*****","null","20780","38","null","null","434","null","88","null","193","null","87","null","1705","125","null","null","79","null","40","null","84","72","null","null","893","null","194","null","53","49","null","null","840","null","185","null","35248","*****","*****","null","28071","null","929","null","6","8","null","null","229","null","133","null","34","null","35","null","38","null","33","null","4951","null","763","null","1919","null","442","null","890","349","null","null","1029","null","361","null",
"0500000US06071","San Bernardino County, California","2135413","*****","*****","null","1007600","*****","*****","null","623262","553","null","null","168864","null","2247","null","7409","null","751","null","145652","1306","null","null","6037","null","527","null","4085","756","null","null","52291","null","3068","null","2877","597","null","null","49414","null","2881","null","1127813","*****","*****","null","681785","null","7173","null","9540","1408","null","null","10485","null","1227","null","4185","null","742","null","469","null","234","null","372523","null","7106","null","48826","null","2613","null","25934","2404","null","null","22892","null","1529","null",
"0500000US06073","San Diego County, California","3302833","*****","*****","null","2195908","*****","*****","null","1515380","911","null","null","155536","null","1816","null","12282","null","777","null","382336","2723","null","null","12811","null","842","null","6366","1056","null","null","111197","null","3727","null","2492","506","null","null","108705","null","3741","null","1106925","*****","*****","null","820067","null","7568","null","10876","1330","null","null","8698","null","1253","null","8082","null","878","null","1092","null","305","null","198941","null","6134","null","59169","null","3265","null","26554","1905","null","null","32615","null","2349","null",
"0500000US06075","San Francisco County, California","870044","*****","*****","null","737393","*****","*****","null","353670","486","null","null","43619","null","746","null","1363","null","235","null","294846","1598","null","null","2694","null","354","null","4163","856","null","null","37038","null","1603","null","1510","390","null","null","35528","null","1580","null","132651","*****","*****","null","52868","null","2621","null","1783","466","null","null","1383","null","456","null","2821","null","518","null","217","null","119","null","63261","null","2783","null","10318","null","1024","null","5541","810","null","null","4777","null","580","null",
"0500000US06077","San Joaquin County, California","732212","*****","*****","null","430956","*****","*****","null","237887","295","null","null","49926","null","897","null","1536","null","256","null","110164","1419","null","null","3959","null","269","null","1069","326","null","null","26415","null","1731","null","1335","492","null","null","25080","null","1636","null","301256","*****","*****","null","174071","null","3600","null","2097","437","null","null","3189","null","732","null","2833","null","598","null","504","null","212","null","70291","null","3567","null","48271","null","2929","null","7636","1008","null","null","40635","null","2877","null",
